valid_time,tp,Specific Attenuation (dB),Attenuation
41275,0,0,0
41275.04167,0,0,0
41275.08333,0,0,0
41275.125,0,0,0
41275.16667,0,0,0
41275.20833,0,0,0
41275.25,5.81686E-06,0.000492917,0.003536909
41275.29167,0.00010373,0.009308463,0.06209396
41275.33333,0.000231192,0.021080053,0.139627387
41275.375,0.000591815,0.054979922,0.355017335
41275.41667,0.000877844,0.082194329,0.524140995
41275.45833,0.000920072,0.086228753,0.52059772
41275.5,0.000942021,0.08832719,0.502599581
41275.54167,0.000904342,0.084725451,0.465305706
41275.58333,0.000670701,0.062463762,0.334689565
41275.625,0.000318318,0.029209384,0.146734328
41275.66667,0.000141687,0.012793745,0.067319217
41275.70833,0.000187948,0.017066592,0.084877254
41275.75,0.000329446,0.030251146,0.141378017
41275.79167,0.000453646,0.041921696,0.195155266
41275.83333,0.000634803,0.059055823,0.255619867
41275.875,0.000595525,0.055331498,0.221385079
41275.91667,0.000275822,0.025237798,0.094602161
41275.95833,6.7661E-05,0.006020346,0.021976891
41276,1.18486E-05,0.001018354,0.003576557
41276.04167,1.71738E-06,0.000142041,0.00046446
41276.08333,2.2325E-06,0.000185612,0.000588298
41276.125,1.56224E-05,0.00135011,0.003959912
41276.16667,1.21339E-05,0.001043366,0.002722511
41276.20833,2.74488E-05,0.002398908,0.006112227
41276.25,2.84788E-05,0.002490747,0.006237174
41276.29167,1.75483E-06,0.000145201,0.000359479
41276.33333,9.99632E-06,0.000856256,0.001859146
41276.375,1.90032E-05,0.001648696,0.003336567
41276.41667,4.21189E-05,0.003712488,0.008113732
41276.45833,2.02947E-05,0.001763043,0.004234753
41276.5,1.82524E-05,0.001582285,0.004240183
41276.54167,8.48742E-06,0.000724645,0.002080527
41276.58333,2.05994E-06,0.00017099,0.00049837
41276.625,9.53674E-07,7.79588E-05,0.000227771
41276.66667,0,0,0
41276.70833,0,0,0
41276.75,0,0,0
41276.79167,6.59859E-06,0.000560565,0.001739488
41276.83333,1.4303E-06,0.000117868,0.0003607
41276.875,9.53535E-07,7.79472E-05,0.000249637
41276.91667,4.76767E-07,3.84399E-05,0.000123879
41276.95833,0,0,0
41277,0,0,0
41277.04167,0,0,0
41277.08333,0,0,0
41277.125,0,0,0
41277.16667,0,0,0
41277.20833,0,0,0
41277.25,0,0,0
41277.29167,0,0,0
41277.33333,0,0,0
41277.375,0,0,0
41277.41667,0,0,0
41277.45833,1.00121E-05,0.000857636,0.008326278
41277.5,3.40224E-05,0.00298613,0.028403581
41277.54167,1.58097E-05,0.001366616,0.013017866
41277.58333,4.84404E-06,0.00040899,0.003893974
41277.625,1.49539E-05,0.00129121,0.011770957
41277.66667,1.82346E-05,0.001580711,0.014029179
41277.70833,2.75401E-05,0.002407042,0.020520628
41277.75,7.20978E-06,0.000613567,0.005184688
41277.79167,2.77493E-05,0.002425689,0.021532144
41277.83333,1.42837E-05,0.001232215,0.011061924
41277.875,4.99683E-06,0.000422151,0.00376677
41277.91667,2.9756E-06,0.000248811,0.002220738
