timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Cloud Attenuation
20130101T0000,0.9502454,0,97,0,1,0.001096222307
20130101T0100,0.8602454,0,98,1,1,0.00253792848
20130101T0200,1.2002454,0,96,0,3,0.006527499116
20130101T0300,1.7702454,0,94,0,0,0.01019031638
20130101T0400,2.3102455,0,98,8,1,0.01005432878
20130101T0500,2.7702456,0,97,75,2,0.008429161015
20130101T0600,3.8502455,0,98,100,9,0.007896884952
20130101T0700,4.5102453,0,90,100,12,0.005938692369
20130101T0800,5.5302453,0,80,100,8,0.005182836835
20130101T0900,6.040245,0.2,94,100,20,0.01877707133
20130101T1000,6.8502455,0.5,93,100,93,0.11362718
20130101T1100,7.000245,0.6,100,100,100,0.1081238926
20130101T1200,7.2402453,0.8,100,100,100,0.1061153094
20130101T1300,7.2002454,0.7,99,100,100,0.1441977729
20130101T1400,7.210245,0.6,100,100,99,0.1251762392
20130101T1500,7.1602454,0.4,100,99,93,0.109249696
20130101T1600,7.110245,0.2,100,93,81,0.0897714376
20130101T1700,6.860245,0.1,99,90,71,0.07798779436
20130101T1800,6.7802453,0.1,97,89,97,0.07246124023
20130101T1900,6.710245,0.3,80,81,100,0.1206155421
20130101T2000,6.7602453,0.4,34,72,93,0.2388349438
20130101T2100,6.5802455,0.5,6,84,81,0.2309716656
20130101T2200,6.3402452,0.2,0,80,52,0.1422718081
20130101T2300,5.980245,0,1,72,19,0.1025065109
20130102T0000,5.290245,0,1,63,5,0.05281289751
20130102T0100,4.7002454,0,0,51,9,0.02175619985
20130102T0200,4.0102453,0,0,5,12,0.01224463062
20130102T0300,3.7702456,0,0,0,25,0.01219036248
20130102T0400,3.9002452,0,0,0,13,0.01097524055
20130102T0500,3.5202456,0,0,0,21,0.01308207374
20130102T0600,3.0002456,0,0,0,40,0.02267289676
20130102T0700,2.6902456,0,0,0,57,0.05823678961
20130102T0800,3.0602455,0,0,0,80,0.1226564738
20130102T0900,3.6002455,0,0,0,91,0.1276813335
20130102T1000,3.9902453,0,0,23,54,0.02887382894
20130102T1100,4.9302454,0,0,25,28,0.01656431198
20130102T1200,5.440245,0,0,16,30,0.01113430744
20130102T1300,5.770245,0,0,13,34,0.01105774822
20130102T1400,5.9902453,0,0,0,31,0.007008449047
20130102T1500,5.360245,0,0,0,26,0.006455714569
20130102T1600,5.2202454,0,2,0,13,0.009556011792
20130102T1700,4.1902456,0,18,0,12,0.009696478791
20130102T1800,3.4802456,0,1,0,11,0.01160984969
20130102T1900,2.3102455,0,0,0,14,0.01300605334
20130102T2000,0.4902454,0,0,0,8,0.01053715871
20130102T2100,-0.2597546,0,0,0,10,0.007630452134
20130102T2200,-1.0297546,0,0,0,1,0.004856419248
20130102T2300,-0.9197546,0,0,0,4,0.006252353584
20130103T0000,-0.7897546,0,0,0,5,0.01004841254
20130103T0100,-1.2497545,0,0,4,7,0.02199396024
20130103T0200,-0.9397546,0,0,26,16,0.03049530894
20130103T0300,-0.88975465,0,0,53,15,0.05274660069
20130103T0400,-0.17975461,0,0,75,18,0.0828939721
20130103T0500,0.4602454,0,5,63,18,0.06385358567
20130103T0600,0.8302454,0,0,34,17,0.04895439193
20130103T0700,1.0602454,0,1,32,33,0.0592398601
20130103T0800,1.2102454,0,0,33,57,0.08195824386
20130103T0900,2.1902454,0,0,24,73,0.1317099693
