number,surface,valid_time,deg0l
0,0.0,2012-12-31 19:00:00,
0,0.0,2012-12-31 20:00:00,
0,0.0,2012-12-31 21:00:00,
0,0.0,2012-12-31 22:00:00,
0,0.0,2012-12-31 23:00:00,
0,0.0,2013-01-01 00:00:00,1894.2456
0,0.0,2013-01-01 01:00:00,1774.8794
0,0.0,2013-01-01 02:00:00,1742.532
0,0.0,2013-01-01 03:00:00,1615.9456
0,0.0,2013-01-01 04:00:00,1575.6646
0,0.0,2013-01-01 05:00:00,1473.5112
0,0.0,2013-01-01 06:00:00,1449.9641
0,0.0,2013-01-01 07:00:00,1327.615
0,0.0,2013-01-01 08:00:00,1318.9663
0,0.0,2013-01-01 09:00:00,1282.4404
0,0.0,2013-01-01 10:00:00,1265.2354
0,0.0,2013-01-01 11:00:00,1178.6633
0,0.0,2013-01-01 12:00:00,1089.8936
0,0.0,2013-01-01 13:00:00,1038.7876
0,0.0,2013-01-01 14:00:00,1002.5149
0,0.0,2013-01-01 15:00:00,913.54956
0,0.0,2013-01-01 16:00:00,971.41284
0,0.0,2013-01-01 17:00:00,899.0161
0,0.0,2013-01-01 18:00:00,824.6741
0,0.0,2013-01-01 19:00:00,821.25757
0,0.0,2013-01-01 20:00:00,739.42676
0,0.0,2013-01-01 21:00:00,655.7185
0,0.0,2013-01-01 22:00:00,589.17456
0,0.0,2013-01-01 23:00:00,562.0718
0,0.0,2013-01-02 00:00:00,525.9082
0,0.0,2013-01-02 01:00:00,464.32764
0,0.0,2013-01-02 02:00:00,439.0515
0,0.0,2013-01-02 03:00:00,379.8777
0,0.0,2013-01-02 04:00:00,298.11768
0,0.0,2013-01-02 05:00:00,282.8838
0,0.0,2013-01-02 06:00:00,271.84448
0,0.0,2013-01-02 07:00:00,264.09692
0,0.0,2013-01-02 08:00:00,187.54465
0,0.0,2013-01-02 09:00:00,150.46709
0,0.0,2013-01-02 10:00:00,191.547
0,0.0,2013-01-02 11:00:00,245.9311
0,0.0,2013-01-02 12:00:00,316.01758
0,0.0,2013-01-02 13:00:00,364.05957
0,0.0,2013-01-02 14:00:00,374.7661
0,0.0,2013-01-02 15:00:00,376.469
0,0.0,2013-01-02 16:00:00,371.39502
0,0.0,2013-01-02 17:00:00,366.0923
0,0.0,2013-01-02 18:00:00,361.2937
0,0.0,2013-01-02 19:00:00,422.51978
0,0.0,2013-01-02 20:00:00,411.4331
0,0.0,2013-01-02 21:00:00,447.29712
0,0.0,2013-01-02 22:00:00,452.2859
0,0.0,2013-01-02 23:00:00,458.0088
0,0.0,2013-01-03 00:00:00,457.44165
0,0.0,2013-01-03 01:00:00,471.79053
0,0.0,2013-01-03 02:00:00,539.271
0,0.0,2013-01-03 03:00:00,641.06445
0,0.0,2013-01-03 04:00:00,724.5674
0,0.0,2013-01-03 05:00:00,1043.2742
0,0.0,2013-01-03 06:00:00,1275.7747
0,0.0,2013-01-03 07:00:00,711.40625
0,0.0,2013-01-03 08:00:00,1719.1597
0,0.0,2013-01-03 09:00:00,2044.064
0,0.0,2013-01-03 10:00:00,2123.1887
0,0.0,2013-01-03 11:00:00,2090.0945
0,0.0,2013-01-03 12:00:00,2043.3743
0,0.0,2013-01-03 13:00:00,2044.8193
0,0.0,2013-01-03 14:00:00,2041.7104
0,0.0,2013-01-03 15:00:00,1941.2622
0,0.0,2013-01-03 16:00:00,1880.7761
0,0.0,2013-01-03 17:00:00,1793.2437
0,0.0,2013-01-03 18:00:00,1771.8926
0,0.0,2013-01-03 19:00:00,1882.1362
0,0.0,2013-01-03 20:00:00,1906.0698
0,0.0,2013-01-03 21:00:00,1890.7869
0,0.0,2013-01-03 22:00:00,1890.9419
0,0.0,2013-01-03 23:00:00,1890.7969
0,0.0,2013-01-04 00:00:00,1883.731
0,0.0,2013-01-04 01:00:00,1882.926
0,0.0,2013-01-04 02:00:00,1882.5359
0,0.0,2013-01-04 03:00:00,1749.967
0,0.0,2013-01-04 04:00:00,1749.0173
0,0.0,2013-01-04 05:00:00,1829.512
0,0.0,2013-01-04 06:00:00,1869.2896
0,0.0,2013-01-04 07:00:00,1858.145
0,0.0,2013-01-04 08:00:00,1822.7109
0,0.0,2013-01-04 09:00:00,1748.9619
0,0.0,2013-01-04 10:00:00,1749.302
0,0.0,2013-01-04 11:00:00,1749.5718
0,0.0,2013-01-04 12:00:00,1749.7471
0,0.0,2013-01-04 13:00:00,1734.8286
0,0.0,2013-01-04 14:00:00,1865.406
0,0.0,2013-01-04 15:00:00,1864.5459
0,0.0,2013-01-04 16:00:00,1863.5859
0,0.0,2013-01-04 17:00:00,1885.2617
0,0.0,2013-01-04 18:00:00,1846.7322
0,0.0,2013-01-04 19:00:00,1745.8147
0,0.0,2013-01-04 20:00:00,1725.0493
0,0.0,2013-01-04 21:00:00,1744.4048
0,0.0,2013-01-04 22:00:00,1747.8191
0,0.0,2013-01-04 23:00:00,1760.5603
0,0.0,2013-01-05 00:00:00,1960.6616
0,0.0,2013-01-05 01:00:00,2166.2698
0,0.0,2013-01-05 02:00:00,2339.5347
0,0.0,2013-01-05 03:00:00,2393.298
0,0.0,2013-01-05 04:00:00,2409.7258
0,0.0,2013-01-05 05:00:00,2409.546
0,0.0,2013-01-05 06:00:00,2380.4976
0,0.0,2013-01-05 07:00:00,2302.4832
0,0.0,2013-01-05 08:00:00,2335.9697
0,0.0,2013-01-05 09:00:00,2378.7324
0,0.0,2013-01-05 10:00:00,2406.341
0,0.0,2013-01-05 11:00:00,2412.0234
0,0.0,2013-01-05 12:00:00,2428.7505
0,0.0,2013-01-05 13:00:00,2423.8577
0,0.0,2013-01-05 14:00:00,2424.1929
0,0.0,2013-01-05 15:00:00,2424.2578
0,0.0,2013-01-05 16:00:00,2353.3728
0,0.0,2013-01-05 17:00:00,2238.3667
0,0.0,2013-01-05 18:00:00,2255.4536
0,0.0,2013-01-05 19:00:00,2275.979
0,0.0,2013-01-05 20:00:00,2248.6758
0,0.0,2013-01-05 21:00:00,2249.2156
0,0.0,2013-01-05 22:00:00,2291.0862
0,0.0,2013-01-05 23:00:00,2424.773
0,0.0,2013-01-06 00:00:00,2424.6782
0,0.0,2013-01-06 01:00:00,2353.293
0,0.0,2013-01-06 02:00:00,2326.3801
0,0.0,2013-01-06 03:00:00,2326.465
0,0.0,2013-01-06 04:00:00,2386.57
0,0.0,2013-01-06 05:00:00,2575.907
0,0.0,2013-01-06 06:00:00,2654.5676
0,0.0,2013-01-06 07:00:00,2711.1892
0,0.0,2013-01-06 08:00:00,2709.297
0,0.0,2013-01-06 09:00:00,2702.764
0,0.0,2013-01-06 10:00:00,2622.7935
0,0.0,2013-01-06 11:00:00,2507.9517
0,0.0,2013-01-06 12:00:00,2475.3574
0,0.0,2013-01-06 13:00:00,2412.7153
0,0.0,2013-01-06 14:00:00,2490.8442
0,0.0,2013-01-06 15:00:00,2508.6357
0,0.0,2013-01-06 16:00:00,2563.1138
0,0.0,2013-01-06 17:00:00,2506.638
0,0.0,2013-01-06 18:00:00,2505.0632
0,0.0,2013-01-06 19:00:00,2320.482
0,0.0,2013-01-06 20:00:00,2332.2551
0,0.0,2013-01-06 21:00:00,2326.5776
0,0.0,2013-01-06 22:00:00,2326.8076
0,0.0,2013-01-06 23:00:00,2356.3506
0,0.0,2013-01-07 00:00:00,2401.3967
0,0.0,2013-01-07 01:00:00,2420.2986
0,0.0,2013-01-07 02:00:00,2473.9866
0,0.0,2013-01-07 03:00:00,2587.3633
0,0.0,2013-01-07 04:00:00,2608.0134
0,0.0,2013-01-07 05:00:00,2608.7585
0,0.0,2013-01-07 06:00:00,2608.5586
0,0.0,2013-01-07 07:00:00,2600.181
0,0.0,2013-01-07 08:00:00,2490.3743
0,0.0,2013-01-07 09:00:00,2492.3743
0,0.0,2013-01-07 10:00:00,2494.3591
0,0.0,2013-01-07 11:00:00,2496.249
0,0.0,2013-01-07 12:00:00,2497.2942
0,0.0,2013-01-07 13:00:00,2497.384
0,0.0,2013-01-07 14:00:00,2489.805
0,0.0,2013-01-07 15:00:00,2435.951
0,0.0,2013-01-07 16:00:00,2417.4507
0,0.0,2013-01-07 17:00:00,2312.0586
0,0.0,2013-01-07 18:00:00,2420.2705
