Location0,Location1,Location2
0.003515601,0.001835942,0.001318336
0.006850538,0.004440961,0.003100572
0.009113807,0.007741708,0.007272977
0.008798923,0.009226169,0.010869112
0.006572323,0.007793026,0.010407763
0.020312537,0.00770973,0.008567084
0.028056469,0.011716213,0.009392109
0.03362072,0.012565974,0.007016543
0.04183792,0.012604943,0.006554833
0.09209655,0.041410673,0.02521919
0.1402942,0.09336578,0.11691772
0.15815598,0.08998734,0.110987246
0.16290863,0.08479126,0.102777556
0.22930008,0.14550644,0.15174347
0.22216217,0.12866394,0.13391297
0.18423279,0.08537872,0.11770828
0.09364258,0.046756133,0.09975754
0.19514862,0.08804336,0.09627548
0.20454377,0.11287659,0.097713165
0.24016784,0.16303848,0.1450827
0.21235627,0.24703568,0.26699418
0.08635008,0.16213286,0.23180068
0.06147461,0.105538175,0.12844543
0.0378125,0.048188478,0.077454835
0.02753662,0.027551878,0.03658508
0.011600342,0.010135498,0.013599243
0.009184264,0.008299254,0.013601683
0.004582517,0.004277341,0.011784665
0.011900101,0.006557617,0.01049057
0.048922956,0.019660413,0.014350355
0.084962845,0.041479107,0.026714321
0.114282906,0.07928306,0.063135445
0.11087951,0.10663757,0.12860832
0.09984443,0.103003,0.13320586
0.027080268,0.02390644,0.028923243
0.018671721,0.010006636,0.015354842
0.027968824,0.020644605,0.010007322
0.02168785,0.018969879,0.011416778
0.016746864,0.012688026,0.008267745
0.02262453,0.014583625,0.007303275
0.037790563,0.024440076,0.010607984
0.030310515,0.029929046,0.010924224
0.02941864,0.029021911,0.013312988
0.025459897,0.02265228,0.014351498
0.015946958,0.008805845,0.011062238
0.020597534,0.003967362,0.008073883
0.015779343,0.002658691,0.004453506
0.034797817,0.0074884,0.00509277
0.0471817,0.021001432,0.009606931
0.05015152,0.035869293,0.025157623
0.03602478,0.03177902,0.03208801
0.05018829,0.048143614,0.057718504
0.07013595,0.07770431,0.09606063
0.019905698,0.033455502,0.069813386
0.032479856,0.026559446,0.05534706
0.06826599,0.042940214,0.068960264
0.094179876,0.06598354,0.094465025
0.16206291,0.12309578,0.15540245
0.73517764,0.5890595,0.46717224
0.9038379,0.7876575,0.6917255
0.8967602,0.8107312,0.79707456
0.80764097,0.8780908,0.9431085
0.6189114,0.7117382,0.79578364
0.5044775,0.56950283,0.64371395
0.45139158,0.48040998,0.55569685
0.44273925,0.44060302,0.48561645
0.39278805,0.40444577,0.42562497
0.3385809,0.29046232,0.35309964
0.32876402,0.24976164,0.33515745
0.34359294,0.24866039,0.31649715
0.42994076,0.41904217,0.35985714
0.4793765,0.5339343,0.5554339
0.50116175,0.5481207,0.59221095
0.5793771,0.66252226,0.78367704
0.68279266,0.59417725,0.8019104
0.60874754,0.6533261,0.7707501
0.5472424,0.6124661,0.7137387
0.5170642,0.5495807,0.5846683
0.48360652,0.4716589,0.48695582
0.5248599,0.48519468,0.49528837
0.5695297,0.5507614,0.6016647
0.56631833,0.57138425,0.6344107
0.76887816,0.8061325,0.8725006
0.7505548,0.8217752,0.94692016
0.5936612,0.6487073,0.77064025
0.5475418,0.62638396,0.6821777
0.57548076,0.61752254,0.5900796
0.53117853,0.5820971,0.5409289
0.5225934,0.5451993,0.52038085
0.5610391,0.5689355,0.5923883
0.6323663,0.63437283,0.66305935
0.58461237,0.63828516,0.66678095
0.5701919,0.60515743,0.6195007
0.47179347,0.5506738,0.568435
0.4234497,0.4663803,0.54680175
0.48398036,0.50653285,0.5910818
0.47116852,0.5133972,0.57948303
0.4254318,0.4218536,0.51595455
0.3770727,0.4033712,0.5373739
0.3357144,0.35005003,0.44035918
0.3130777,0.3410089,0.48460174
0.2864477,0.26813716,0.30281276
0.25395018,0.2513867,0.28088957
0.23524654,0.23954952,0.33866298
0.18973142,0.2216528,0.34257108
0.1802612,0.19164425,0.29092556
0.17180663,0.16313964,0.22617751
0.1822735,0.15716136,0.21637309
0.19858825,0.17713058,0.24402893
0.21794826,0.19569713,0.27149516
0.22131163,0.22057539,0.28772932
0.24747568,0.25029474,0.29610544
0.20951247,0.2646196,0.38044143
0.19088924,0.25840175,0.38935268
0.18455684,0.25437343,0.39627254
0.15858245,0.2356317,0.3661554
0.1545785,0.2300027,0.35225612
0.13359249,0.20636928,0.3492602
0.098406315,0.19959116,0.30133677
0.083986506,0.17858337,0.2981894
0.08805969,0.19388703,0.32716492
0.09212768,0.19435394,0.33768737
0.1058926,0.16536373,0.26472133
0.103447855,0.14997953,0.21257108
0.09308365,0.12133911,0.18030289
0.09561386,0.098940276,0.17143479
0.103685915,0.09555298,0.15649277
0.09368683,0.08091522,0.12372375
0.09473549,0.069682464,0.07621132
0.12532432,0.081901625,0.058235243
0.18060455,0.11921081,0.090726465
0.19685882,0.1784262,0.1542067
0.17552033,0.18366471,0.17475739
0.15946442,0.1700502,0.19614273
0.16082595,0.16585754,0.20084213
0.15407225,0.15969893,0.21241042
0.15297242,0.16035385,0.21498413
0.13151062,0.14902389,0.21020019
0.12283218,0.14828002,0.21493804
0.1190213,0.15124404,0.22557342
0.11229415,0.14769073,0.23610015
0.10960464,0.16385727,0.2278183
0.1359111,0.1941272,0.20507157
0.1452153,0.2058461,0.21198776
0.13433777,0.20300613,0.24583374
0.13124388,0.22247618,0.24594039
0.14480191,0.20762998,0.22006208
0.152852,0.21946043,0.1699304
0.16274732,0.20036787,0.12540144
0.14978722,0.16446236,0.11067894
0.13043118,0.15038776,0.10608578
0.11119205,0.13395435,0.10105258
0.106950454,0.13261193,0.0828759
0.10364502,0.12548989,0.06322449
0.13724196,0.1958853,0.17066252
0.1595938,0.20935653,0.17300628
0.16674377,0.20683624,0.16957428
0.1378685,0.19398269,0.15871963
0.10146683,0.15397996,0.11652916
0.07477066,0.11996147,0.06815979
0.06608826,0.11030251,0.04420906
0.062658995,0.084931105,0.03412506
0.048927993,0.067997664,0.025431365
0.037521895,0.044264372,0.019068297
0.026356008,0.035815503,0.021036413
0.021132812,0.036130294,0.026402816
0.032377698,0.07274673,0.049883343
0.05020149,0.09377487,0.05888374
0.059897613,0.110154346,0.07341309
0.060840376,0.12403274,0.09214569
0.054067533,0.110288545,0.09444992
0.050727308,0.11798042,0.11289352
0.039145734,0.09010437,0.102669984
0.031430356,0.07262527,0.0885688
0.02051559,0.052417904,0.0711042
0.016501844,0.04037994,0.05923599
0.017878186,0.029610287,0.046467435
0.019306295,0.02308952,0.033415906
0.017555237,0.018149376,0.026309967
0.020639762,0.016993865,0.023285255
0.017509706,0.014550932,0.020713098
0.015358713,0.011452463,0.017929818
0.012717256,0.010581026,0.015578518
0.012116775,0.011232957,0.014758214
0.011336727,0.011763973,0.014887733
0.012224112,0.012651358,0.014975701
0.012622118,0.01307869,0.014662981
0.013510819,0.013388748,0.013623114
0.013789015,0.014399366,0.013711052
0.01396493,0.014575281,0.013796368
0.015334386,0.011367101,0.011093635
0.023483677,0.013901157,0.0131077
0.031923696,0.018434925,0.013972206
0.038163606,0.023148956,0.015364112
0.041333314,0.029401893,0.01818096
0.03892826,0.03514408,0.02232193
0.038162384,0.040602837,0.02720562
0.039765432,0.045227125,0.029323654
0.03923874,0.046682168,0.033864785
0.04126423,0.0459029,0.034784965
0.04454815,0.045432206,0.03464138
0.045370903,0.046804275,0.035688248
0.03513931,0.04612278,0.030024756
0.03663044,0.048559953,0.036703873
0.03411617,0.04558792,0.04029789
0.029487267,0.037146226,0.039619103
0.030047454,0.03383068,0.038767852
0.028709907,0.032966156,0.03536989
0.03125469,0.034274977,0.03529541
0.038305834,0.039648607,0.039997652
0.03953136,0.042429578,0.046613347
0.04629917,0.04632969,0.055145454
0.05599609,0.053951412,0.06288448
0.07324699,0.07278732,0.07797722
0.12371689,0.14669281,0.107420504
0.15768981,0.17569137,0.13335586
0.27920958,0.30722472,0.21086547
0.37293303,0.32569945,0.28188384
0.4126773,0.36793852,0.31175566
0.41441712,0.3520697,0.32889923
0.37416473,0.31255737,0.31904998
0.33005947,0.30506557,0.3063931
0.3583238,0.32829452,0.3267572
0.3649704,0.35010833,0.34665984
0.37469858,0.37378305,0.3554191
0.3339265,0.34860164,0.3419221
0.5037883,0.5437892,0.5445178
0.4667886,0.5156701,0.5387185
0.413854,0.39154565,0.43034112
0.46475947,0.3922192,0.39509547
0.38276744,0.39109492,0.3959968
0.19935572,0.22675669,0.2658192
0.13011718,0.14933944,0.23091292
0.09128666,0.098916054,0.16972446
0.09175171,0.07865967,0.13510193
0.15363319,0.13553627,0.15808304
0.2097289,0.17787045,0.21178311
0.24886078,0.21236175,0.2445311
0.22296,0.1752038,0.1565156
0.24879181,0.18214524,0.1771785
0.22299665,0.18235105,0.20742506
0.27418834,0.22499782,0.23281795
0.31707364,0.32985288,0.27540952
0.31869656,0.33945614,0.26603085
0.33735776,0.31732297,0.2506802
0.27289963,0.29675674,0.24688339
0.20840102,0.23622924,0.21282226
0.11883223,0.14540923,0.15668547
0.05426651,0.07556397,0.09946686
