timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Specific attenuation,Attenuation
20130101T0000,0.9502454,0,97,0,1,0,0
20130101T0100,0.8602454,0,98,1,1,0,0
20130101T0200,1.2002454,0,96,0,3,0,0
20130101T0300,1.7702454,0,94,0,0,0,0
20130101T0400,2.3102455,0,98,8,1,0,0
20130101T0500,2.7702456,0,97,75,2,0,0
20130101T0600,3.8502455,0,98,100,9,0,0
20130101T0700,4.5102453,0,90,100,12,0,0
20130101T0800,5.5302453,0,80,100,8,0,0
20130101T0900,6.040245,0.2,94,100,20,0.092526842,0.117876644
20130101T1000,6.8502455,0.5,93,100,93,0.093291988,0.29604219
20130101T1100,7.000245,0.6,100,100,100,0.093444989,0.337356496
20130101T1200,7.2402453,0.8,100,100,100,0.093686916,0.425815042
20130101T1300,7.2002454,0.7,99,100,100,0.093574544,0.358800406
20130101T1400,7.210245,0.6,100,100,99,0.093444989,0.298894021
20130101T1500,7.1602454,0.4,100,99,93,0.093105072,0.185090827
20130101T1600,7.110245,0.2,100,93,81,0.092526842,0.095605196
20130101T1700,6.860245,0.1,99,90,71,0.091952203,0.044652262
20130101T1800,6.7802453,0.1,97,89,97,0.091952203,0.042019782
20130101T1900,6.710245,0.3,80,81,100,0.092864647,0.128167413
20130101T2000,6.7602453,0.4,34,72,93,0.093105072,0.159860339
20130101T2100,6.5802455,0.5,6,84,81,0.093291988,0.185343833
20130101T2200,6.3402452,0.2,0,80,52,0.092526842,0.06820864
20130101T2300,5.980245,0,1,72,19,0,0
20130102T0000,5.290245,0,1,63,5,0,0
20130102T0100,4.7002454,0,0,51,9,0,0
20130102T0200,4.0102453,0,0,5,12,0,0
20130102T0300,3.7702456,0,0,0,25,0,0
20130102T0400,3.9002452,0,0,0,13,0,0
20130102T0500,3.5202456,0,0,0,21,0,0
20130102T0600,3.0002456,0,0,0,40,0,0
20130102T0700,2.6902456,0,0,0,57,0,0
20130102T0800,3.0602455,0,0,0,80,0,0
20130102T0900,3.6002455,0,0,0,91,0,0
20130102T1000,3.9902453,0,0,23,54,0,0
20130102T1100,4.9302454,0,0,25,28,0,0
20130102T1200,5.440245,0,0,16,30,0,0
20130102T1300,5.770245,0,0,13,34,0,0
20130102T1400,5.9902453,0,0,0,31,0,0
20130102T1500,5.360245,0,0,0,26,0,0
20130102T1600,5.2202454,0,2,0,13,0,0
20130102T1700,4.1902456,0,18,0,12,0,0
20130102T1800,3.4802456,0,1,0,11,0,0
20130102T1900,2.3102455,0,0,0,14,0,0
20130102T2000,0.4902454,0,0,0,8,0,0
20130102T2100,-0.2597546,0,0,0,10,0,0
20130102T2200,-1.0297546,0,0,0,1,0,0
20130102T2300,-0.9197546,0,0,0,4,0,0
20130103T0000,-0.7897546,0,0,0,5,0,0
20130103T0100,-1.2497545,0,0,4,7,0,0
20130103T0200,-0.9397546,0,0,26,16,0,0
20130103T0300,-0.88975465,0,0,53,15,0,0
20130103T0400,-0.17975461,0,0,75,18,0,0
20130103T0500,0.4602454,0,5,63,18,0,0
20130103T0600,0.8302454,0,0,34,17,0,0
20130103T0700,1.0602454,0,1,32,33,0,0
20130103T0800,1.2102454,0,0,33,57,0,0
20130103T0900,2.1902454,0,0,24,73,0,0
20130103T1000,2.8902454,0,0,89,88,0,0
20130103T1100,3.3802452,0,0,96,90,0,0
20130103T1200,3.4002452,0,0,97,97,0,0
20130103T1300,3.7602453,0,0,99,100,0,0
20130103T1400,4.2002454,0,0,85,100,0,0
20130103T1500,4.3102455,0,34,44,100,0,0
20130103T1600,4.2902455,0,91,31,100,0,0
20130103T1700,4.3402452,0,92,41,100,0,0
20130103T1800,4.3002453,0,74,41,100,0,0
20130103T1900,4.5002456,0,25,31,100,0,0
20130103T2000,4.4802456,0.1,16,35,88,0.091952203,0.08027842
20130103T2100,4.670245,0.4,5,43,88,0.093105072,0.326399962
20130103T2200,4.5102453,0,18,59,100,0,0
20130103T2300,4.4402456,0,16,64,99,0,0
20130104T0000,4.5802455,0.2,86,65,100,0.092526842,0.160886114
20130104T0100,4.3402452,0.3,100,77,100,0.092864647,0.242849492
20130104T0200,4.3502455,0.3,100,80,100,0.092864647,0.242807416
20130104T0300,4.3402452,0.3,52,60,100,0.092864647,0.228506072
20130104T0400,4.4602456,0.2,0,28,100,0.092526842,0.15125519
20130104T0500,4.5402455,0,0,7,100,0,0
20130104T0600,4.5802455,0,3,4,100,0,0
20130104T0700,4.8302455,0,25,7,100,0,0
20130104T0800,4.960245,0,3,15,100,0,0
20130104T0900,5.610245,0,78,42,100,0,0
20130104T1000,5.880245,0.1,13,81,100,0.091952203,0.074736294
20130104T1100,6.3402452,0,36,77,100,0,0
20130104T1200,7.000245,0,68,66,100,0,0
20130104T1300,7.5902452,0,86,47,100,0,0
20130104T1400,7.9702454,0,88,39,99,0,0
20130104T1500,8.010245,0.1,70,34,100,0.091952203,0.078810573
20130104T1600,7.500245,0.2,72,15,100,0.092526842,0.159446078
20130104T1700,6.9702454,0.2,66,24,98,0.092526842,0.160995531
20130104T1800,6.7002454,0.2,58,43,100,0.092526842,0.158241276
20130104T1900,6.6602454,0.2,40,31,100,0.092526842,0.151026197
20130104T2000,6.8102455,0.1,0,24,98,0.091952203,0.073878786
20130104T2100,6.880245,0.1,0,20,100,0.091952203,0.074563145
20130104T2200,6.9902453,0.2,1,25,98,0.092526842,0.151169516
20130104T2300,6.9502454,0.2,0,24,100,0.092526842,0.152080528
20130105T0000,6.940245,0.1,0,13,100,0.091952203,0.082208074
20130105T0100,7.000245,0,0,18,99,0,0
20130105T0200,7.110245,0,0,8,100,0,0
20130105T0300,7.1002455,0,0,4,100,0,0
20130105T0400,7.190245,0,0,4,98,0,0
20130105T0500,7.3902454,0.2,0,1,94,0.092526842,0.198452482
20130105T0600,7.190245,0.1,0,0,91,0.091952203,0.097043071
20130105T0700,7.1602454,0.1,0,2,95,0.091952203,0.094287058
20130105T0800,7.2002454,0,0,19,97,0,0
20130105T0900,7.2802453,0,1,17,98,0,0
20130105T1000,7.3702455,0,2,10,93,0,0
20130105T1100,7.750245,0,0,2,91,0,0
20130105T1200,7.9902453,0,0,4,99,0,0
20130105T1300,7.9902453,0,0,0,100,0,0
