Attenuation,Zero degree level(m),Rain height(km),R (mm/hr)
0,1894.2456,2.2542456,0
0,1774.8794,2.1348794,0
0,1742.532,2.102532,0
0,1615.9456,1.9759456,0
0,1575.6646,1.9356646,0
0,1473.5112,1.8335112,0
0,1449.9641,1.8099641,0
0,1327.615,1.687615,0
0,1318.9663,1.6789663,0
0.117876644,1282.4404,1.6424404,0.2
0.29604219,1265.2354,1.6252354,0.5
0.337356496,1178.6633,1.5386633,0.6
0.425815042,1089.8936,1.4498936,0.8
0.358800406,1038.7876,1.3987876,0.7
0.298894021,1002.5149,1.3625149,0.6
0.185090827,913.54956,1.27354956,0.4
0.095605196,971.41284,1.33141284,0.2
0.044652262,899.0161,1.2590161,0.1
0.042019782,824.6741,1.1846741,0.1
0.128167413,821.25757,1.18125757,0.3
0.159860339,739.42676,1.09942676,0.4
0.185343833,655.7185,1.0157185,0.5
0.06820864,589.17456,0.94917456,0.2
0,562.0718,0.9220718,0
0,525.9082,0.8859082,0
0,464.32764,0.82432764,0
0,439.0515,0.7990515,0
0,379.8777,0.7398777,0
0,298.11768,0.65811768,0
0,282.8838,0.6428838,0
0,271.84448,0.63184448,0
0,264.09692,0.62409692,0
0,187.54465,0.54754465,0
0,150.46709,0.51046709,0
0,191.547,0.551547,0
0,245.9311,0.6059311,0
0,316.01758,0.67601758,0
0,364.05957,0.72405957,0
0,374.7661,0.7347661,0
0,376.469,0.736469,0
0,371.39502,0.73139502,0
0,366.0923,0.7260923,0
0,361.2937,0.7212937,0
0,422.51978,0.78251978,0
0,411.4331,0.7714331,0
0,447.29712,0.80729712,0
0,452.2859,0.8122859,0
0,458.0088,0.8180088,0
0,457.44165,0.81744165,0
0,471.79053,0.83179053,0
0,539.271,0.899271,0
0,641.06445,1.00106445,0
0,724.5674,1.0845674,0
0,1043.2742,1.4032742,0
0,1275.7747,1.6357747,0
0,711.40625,1.07140625,0
0,1719.1597,2.0791597,0
0,2044.064,2.404064,0
0,2123.1887,2.4831887,0
0,2090.0945,2.4500945,0
0,2043.3743,2.4033743,0
0,2044.8193,2.4048193,0
0,2041.7104,2.4017104,0
0,1941.2622,2.3012622,0
0,1880.7761,2.2407761,0
0,1793.2437,2.1532437,0
0,1771.8926,2.1318926,0
0,1882.1362,2.2421362,0
0.08027842,1906.0698,2.2660698,0.1
0.326399962,1890.7869,2.2507869,0.4
0,1890.9419,2.2509419,0
0,1890.7969,2.2507969,0
0.160886114,1883.731,2.243731,0.2
0.242849492,1882.926,2.242926,0.3
0.242807416,1882.5359,2.2425359,0.3
0.228506072,1749.967,2.109967,0.3
0.15125519,1749.0173,2.1090173,0.2
0,1829.512,2.189512,0
0,1869.2896,2.2292896,0
0,1858.145,2.218145,0
0,1822.7109,2.1827109,0
0,1748.9619,2.1089619,0
0.074736294,1749.302,2.109302,0.1
0,1749.5718,2.1095718,0
0,1749.7471,2.1097471,0
0,1734.8286,2.0948286,0
