,datetime,San Antonio
0,2012-10-01 13:00:00,289.29
1,2012-10-01 14:00:00,289.303648787
2,2012-10-01 15:00:00,289.338496754
3,2012-10-01 16:00:00,289.373344722
4,2012-10-01 17:00:00,289.408192689
5,2012-10-01 18:00:00,289.443040656
6,2012-10-01 19:00:00,289.477888623
7,2012-10-01 20:00:00,289.51273659
8,2012-10-01 21:00:00,289.547584558
9,2012-10-01 22:00:00,289.582432525
10,2012-10-01 23:00:00,289.617280492
11,2012-10-02 00:00:00,289.652128459
12,2012-10-02 01:00:00,289.686976426
13,2012-10-02 02:00:00,289.721824394
14,2012-10-02 03:00:00,289.756672361
15,2012-10-02 04:00:00,289.791520328
16,2012-10-02 05:00:00,289.826368295
17,2012-10-02 06:00:00,289.861216262
18,2012-10-02 07:00:00,289.89606423
19,2012-10-02 08:00:00,289.930912197
20,2012-10-02 09:00:00,289.965760164
21,2012-10-02 10:00:00,290.000608131
22,2012-10-02 11:00:00,290.035456098
23,2012-10-02 12:00:00,290.070304066
24,2012-10-02 13:00:00,290.105152033
25,2012-10-02 14:00:00,290.14
26,2012-10-02 15:00:00,295.0
27,2012-10-02 16:00:00,295.95
28,2012-10-02 17:00:00,297.16
29,2012-10-02 18:00:00,296.47
30,2012-10-02 19:00:00,294.23
31,2012-10-02 20:00:00,293.35
32,2012-10-02 21:00:00,295.25
33,2012-10-02 22:00:00,295.99
34,2012-10-02 23:00:00,292.81
35,2012-10-03 00:00:00,292.78
36,2012-10-03 01:00:00,291.52
37,2012-10-03 02:00:00,290.9
38,2012-10-03 03:00:00,290.76
39,2012-10-03 04:00:00,290.63
40,2012-10-03 05:00:00,290.26
41,2012-10-03 06:00:00,289.92
42,2012-10-03 07:00:00,289.41
43,2012-10-03 08:00:00,289.28
44,2012-10-03 09:00:00,289.36
45,2012-10-03 10:00:00,289.16
46,2012-10-03 11:00:00,289.24
47,2012-10-03 12:00:00,289.11
48,2012-10-03 13:00:00,289.23
49,2012-10-03 14:00:00,290.18
50,2012-10-03 15:00:00,292.3
51,2012-10-03 16:00:00,294.42
52,2012-10-03 17:00:00,296.54
53,2012-10-03 18:00:00,297.93
54,2012-10-03 19:00:00,298.78
55,2012-10-03 20:00:00,299.1
56,2012-10-03 21:00:00,299.36
57,2012-10-03 22:00:00,298.98
58,2012-10-03 23:00:00,298.6
59,2012-10-04 00:00:00,296.91
60,2012-10-04 01:00:00,293.73
61,2012-10-04 02:00:00,291.73
62,2012-10-04 03:00:00,290.62
63,2012-10-04 04:00:00,289.79
64,2012-10-04 05:00:00,288.78
65,2012-10-04 06:00:00,288.52
66,2012-10-04 07:00:00,288.34
67,2012-10-04 08:00:00,286.62
68,2012-10-04 09:00:00,286.62
69,2012-10-04 10:00:00,287.13
70,2012-10-04 11:00:00,287.07
71,2012-10-04 12:00:00,286.53
72,2012-10-04 13:00:00,286.78
73,2012-10-04 14:00:00,287.87
