,datetime,Dallas
0,2012-10-01 13:00:00,289.74
1,2012-10-01 14:00:00,289.762974207
2,2012-10-01 15:00:00,289.830766948
3,2012-10-01 16:00:00,289.89855969
4,2012-10-01 17:00:00,289.966352431
5,2012-10-01 18:00:00,290.034145172
6,2012-10-01 19:00:00,290.101937914
7,2012-10-01 20:00:00,290.169730655
8,2012-10-01 21:00:00,290.237523396
9,2012-10-01 22:00:00,290.305316138
10,2012-10-01 23:00:00,290.373108879
11,2012-10-02 00:00:00,290.440901621
12,2012-10-02 01:00:00,290.508694362
13,2012-10-02 02:00:00,290.576487103
14,2012-10-02 03:00:00,290.644279845
15,2012-10-02 04:00:00,290.712072586
16,2012-10-02 05:00:00,290.779865328
17,2012-10-02 06:00:00,290.847658069
18,2012-10-02 07:00:00,290.91545081
19,2012-10-02 08:00:00,290.983243552
20,2012-10-02 09:00:00,291.051036293
21,2012-10-02 10:00:00,291.118829034
22,2012-10-02 11:00:00,291.186621776
23,2012-10-02 12:00:00,291.254414517
24,2012-10-02 13:00:00,291.322207259
25,2012-10-02 14:00:00,291.39
26,2012-10-02 15:00:00,293.97
27,2012-10-02 16:00:00,295.52
28,2012-10-02 17:00:00,297.44
29,2012-10-02 18:00:00,299.64
30,2012-10-02 19:00:00,300.19
31,2012-10-02 20:00:00,301.13
32,2012-10-02 21:00:00,301.12
33,2012-10-02 22:00:00,301.05
34,2012-10-02 23:00:00,300.34
35,2012-10-03 00:00:00,299.2
36,2012-10-03 01:00:00,296.83
37,2012-10-03 02:00:00,296.17
38,2012-10-03 03:00:00,295.99
39,2012-10-03 04:00:00,295.79
40,2012-10-03 05:00:00,294.88
41,2012-10-03 06:00:00,293.89
42,2012-10-03 07:00:00,292.69
43,2012-10-03 08:00:00,292.32
44,2012-10-03 09:00:00,291.83
45,2012-10-03 10:00:00,291.38
46,2012-10-03 11:00:00,291.08
47,2012-10-03 12:00:00,290.885
48,2012-10-03 13:00:00,290.69
49,2012-10-03 14:00:00,291.85
50,2012-10-03 15:00:00,293.04
51,2012-10-03 16:00:00,294.23
52,2012-10-03 17:00:00,295.42
53,2012-10-03 18:00:00,297.66
54,2012-10-03 19:00:00,298.83
55,2012-10-03 20:00:00,299.47
56,2012-10-03 21:00:00,299.27
57,2012-10-03 22:00:00,298.66
58,2012-10-03 23:00:00,298.05
59,2012-10-04 00:00:00,296.86
60,2012-10-04 01:00:00,294.92
61,2012-10-04 02:00:00,293.73
62,2012-10-04 03:00:00,293.12
63,2012-10-04 04:00:00,292.43
64,2012-10-04 05:00:00,291.87
65,2012-10-04 06:00:00,290.86
66,2012-10-04 07:00:00,290.56
67,2012-10-04 08:00:00,289.57
68,2012-10-04 09:00:00,289.46
69,2012-10-04 10:00:00,288.98
70,2012-10-04 11:00:00,288.57
71,2012-10-04 12:00:00,288.36
72,2012-10-04 13:00:00,289.05
73,2012-10-04 14:00:00,291.33
74,2012-10-04 15:00:00,293.88
75,2012-10-04 16:00:00,297.66
76,2012-10-04 17:00:00,299.34
77,2012-10-04 18:00:00,300.58
78,2012-10-04 19:00:00,301.15
79,2012-10-04 20:00:00,301.73
80,2012-10-04 21:00:00,301.59
81,2012-10-04 22:00:00,301.34
82,2012-10-04 23:00:00,300.52
83,2012-10-05 00:00:00,298.87
84,2012-10-05 01:00:00,297.41
85,2012-10-05 02:00:00,295.71
86,2012-10-05 03:00:00,295.13
87,2012-10-05 04:00:00,294.47
88,2012-10-05 05:00:00,293.87
89,2012-10-05 06:00:00,293.47
90,2012-10-05 07:00:00,292.805
91,2012-10-05 08:00:00,292.14
92,2012-10-05 09:00:00,291.795
93,2012-10-05 10:00:00,291.45
94,2012-10-05 11:00:00,291.22
95,2012-10-05 12:00:00,291.38
96,2012-10-05 13:00:00,292.0
97,2012-10-05 14:00:00,293.75
98,2012-10-05 15:00:00,296.82
99,2012-10-05 16:00:00,298.88
100,2012-10-05 17:00:00,299.62
101,2012-10-05 18:00:00,301.14
102,2012-10-05 19:00:00,301.67
103,2012-10-05 20:00:00,302.17
104,2012-10-05 21:00:00,302.39
105,2012-10-05 22:00:00,302.41
106,2012-10-05 23:00:00,302.09
107,2012-10-06 00:00:00,301.33
108,2012-10-06 01:00:00,300.72
109,2012-10-06 02:00:00,300.33
110,2012-10-06 03:00:00,299.49
111,2012-10-06 04:00:00,298.76
112,2012-10-06 05:00:00,298.53
113,2012-10-06 06:00:00,297.91
114,2012-10-06 07:00:00,297.89
115,2012-10-06 08:00:00,297.225
116,2012-10-06 09:00:00,296.56
117,2012-10-06 10:00:00,296.19
