,datetime,Minneapolis
0,2012-10-01 13:00:00,286.87
1,2012-10-01 14:00:00,286.893635588
2,2012-10-01 15:00:00,286.951400772
3,2012-10-01 16:00:00,287.009165955
4,2012-10-01 17:00:00,287.066931139
5,2012-10-01 18:00:00,287.124696323
6,2012-10-01 19:00:00,287.182461507
7,2012-10-01 20:00:00,287.240226691
8,2012-10-01 21:00:00,287.297991875
9,2012-10-01 22:00:00,287.355757058
10,2012-10-01 23:00:00,287.413522242
11,2012-10-02 00:00:00,287.471287426
12,2012-10-02 01:00:00,287.52905261
13,2012-10-02 02:00:00,287.586817794
14,2012-10-02 03:00:00,287.644582978
15,2012-10-02 04:00:00,287.702348162
16,2012-10-02 05:00:00,287.760113345
17,2012-10-02 06:00:00,287.817878529
18,2012-10-02 07:00:00,287.875643713
19,2012-10-02 08:00:00,287.933408897
20,2012-10-02 09:00:00,287.991174081
21,2012-10-02 10:00:00,288.048939265
22,2012-10-02 11:00:00,288.106704448
23,2012-10-02 12:00:00,288.164469632
24,2012-10-02 13:00:00,288.222234816
25,2012-10-02 14:00:00,288.28
26,2012-10-02 15:00:00,289.36
27,2012-10-02 16:00:00,289.58
28,2012-10-02 17:00:00,290.13
29,2012-10-02 18:00:00,291.14
30,2012-10-02 19:00:00,291.72
31,2012-10-02 20:00:00,293.17
32,2012-10-02 21:00:00,293.86
33,2012-10-02 22:00:00,294.14
34,2012-10-02 23:00:00,293.1
35,2012-10-03 00:00:00,290.97
36,2012-10-03 01:00:00,289.38
37,2012-10-03 02:00:00,288.61
38,2012-10-03 03:00:00,287.16
39,2012-10-03 04:00:00,285.45
40,2012-10-03 05:00:00,284.63
41,2012-10-03 06:00:00,283.47
42,2012-10-03 07:00:00,281.18
43,2012-10-03 08:00:00,281.09
44,2012-10-03 09:00:00,279.53
45,2012-10-03 10:00:00,278.62
46,2012-10-03 11:00:00,278.23
47,2012-10-03 12:00:00,278.175
48,2012-10-03 13:00:00,278.12
49,2012-10-03 14:00:00,282.48
50,2012-10-03 15:00:00,285.643333333
51,2012-10-03 16:00:00,288.806666667
52,2012-10-03 17:00:00,291.97
53,2012-10-03 18:00:00,293.23
54,2012-10-03 19:00:00,294.31
55,2012-10-03 20:00:00,295.17
56,2012-10-03 21:00:00,295.13
57,2012-10-03 22:00:00,294.395
58,2012-10-03 23:00:00,293.66
59,2012-10-04 00:00:00,290.65
60,2012-10-04 01:00:00,288.19
61,2012-10-04 02:00:00,287.1
62,2012-10-04 03:00:00,286.25
63,2012-10-04 04:00:00,285.26
64,2012-10-04 05:00:00,284.55
65,2012-10-04 06:00:00,283.47
66,2012-10-04 07:00:00,283.17
67,2012-10-04 08:00:00,282.04
68,2012-10-04 09:00:00,281.69
69,2012-10-04 10:00:00,281.32
70,2012-10-04 11:00:00,280.74
71,2012-10-04 12:00:00,280.57
72,2012-10-04 13:00:00,281.86
73,2012-10-04 14:00:00,284.98
74,2012-10-04 15:00:00,289.18
75,2012-10-04 16:00:00,291.55
76,2012-10-04 17:00:00,294.97
77,2012-10-04 18:00:00,296.38
78,2012-10-04 19:00:00,297.32
79,2012-10-04 20:00:00,298.17
80,2012-10-04 21:00:00,298.06
81,2012-10-04 22:00:00,297.67
82,2012-10-04 23:00:00,296.36
83,2012-10-05 00:00:00,293.85
84,2012-10-05 01:00:00,292.43
85,2012-10-05 02:00:00,291.77
86,2012-10-05 03:00:00,291.36
87,2012-10-05 04:00:00,291.12
88,2012-10-05 05:00:00,290.63
89,2012-10-05 06:00:00,290.46
90,2012-10-05 07:00:00,289.86
91,2012-10-05 08:00:00,289.26
92,2012-10-05 09:00:00,286.235
93,2012-10-05 10:00:00,283.21
94,2012-10-05 11:00:00,282.24
95,2012-10-05 12:00:00,281.69
96,2012-10-05 13:00:00,280.57
97,2012-10-05 14:00:00,280.02
98,2012-10-05 15:00:00,280.11
99,2012-10-05 16:00:00,280.0
100,2012-10-05 17:00:00,280.53
101,2012-10-05 18:00:00,281.43
102,2012-10-05 19:00:00,281.78
103,2012-10-05 20:00:00,281.91
104,2012-10-05 21:00:00,281.73
105,2012-10-05 22:00:00,281.42
106,2012-10-05 23:00:00,280.87
107,2012-10-06 00:00:00,280.15
108,2012-10-06 01:00:00,279.78
109,2012-10-06 02:00:00,279.65
110,2012-10-06 03:00:00,279.22
111,2012-10-06 04:00:00,279.06
112,2012-10-06 05:00:00,278.81
113,2012-10-06 06:00:00,278.55
114,2012-10-06 07:00:00,278.59
115,2012-10-06 08:00:00,277.79
116,2012-10-06 09:00:00,276.99
117,2012-10-06 10:00:00,276.35
118,2012-10-06 11:00:00,275.4
119,2012-10-06 12:00:00,275.17
120,2012-10-06 13:00:00,274.99
121,2012-10-06 14:00:00,275.09
122,2012-10-06 15:00:00,276.88
123,2012-10-06 16:00:00,278.04
124,2012-10-06 17:00:00,279.08
125,2012-10-06 18:00:00,280.12
126,2012-10-06 19:00:00,280.25
127,2012-10-06 20:00:00,280.0
128,2012-10-06 21:00:00,279.06
129,2012-10-06 22:00:00,278.91
130,2012-10-06 23:00:00,278.39
131,2012-10-07 00:00:00,278.16
132,2012-10-07 01:00:00,278.16
133,2012-10-07 02:00:00,277.93
134,2012-10-07 03:00:00,276.9
135,2012-10-07 04:00:00,276.34
136,2012-10-07 05:00:00,276.11
137,2012-10-07 06:00:00,275.983333333
138,2012-10-07 07:00:00,275.856666667
139,2012-10-07 08:00:00,275.73
140,2012-10-07 09:00:00,275.65
141,2012-10-07 10:00:00,275.51
142,2012-10-07 11:00:00,275.05
143,2012-10-07 12:00:00,274.77
144,2012-10-07 13:00:00,274.77
145,2012-10-07 14:00:00,275.55
146,2012-10-07 15:00:00,276.24
147,2012-10-07 16:00:00,277.01
148,2012-10-07 17:00:00,277.43
149,2012-10-07 18:00:00,278.45
150,2012-10-07 19:00:00,279.27
151,2012-10-07 20:00:00,279.27
152,2012-10-07 21:00:00,279.44
153,2012-10-07 22:00:00,279.32
154,2012-10-07 23:00:00,279.27
155,2012-10-08 00:00:00,278.11
156,2012-10-08 01:00:00,276.79
157,2012-10-08 02:00:00,275.73
158,2012-10-08 03:00:00,274.88
159,2012-10-08 04:00:00,273.92
160,2012-10-08 05:00:00,273.08
161,2012-10-08 06:00:00,272.62
162,2012-10-08 07:00:00,271.78
163,2012-10-08 08:00:00,271.05
164,2012-10-08 09:00:00,270.63
165,2012-10-08 10:00:00,270.33
166,2012-10-08 11:00:00,269.61
167,2012-10-08 12:00:00,270.01
168,2012-10-08 13:00:00,271.23
169,2012-10-08 14:00:00,273.71
170,2012-10-08 15:00:00,276.77
171,2012-10-08 16:00:00,279.47
172,2012-10-08 17:00:00,279.84
173,2012-10-08 18:00:00,282.34
174,2012-10-08 19:00:00,282.94
175,2012-10-08 20:00:00,283.48
176,2012-10-08 21:00:00,284.33
177,2012-10-08 22:00:00,284.48
178,2012-10-08 23:00:00,284.23
179,2012-10-09 00:00:00,281.99
180,2012-10-09 01:00:00,279.81
181,2012-10-09 02:00:00,279.35
182,2012-10-09 03:00:00,278.9
183,2012-10-09 04:00:00,278.46
184,2012-10-09 05:00:00,277.78
185,2012-10-09 06:00:00,277.27
186,2012-10-09 07:00:00,277.47
187,2012-10-09 08:00:00,277.22
188,2012-10-09 09:00:00,276.97
189,2012-10-09 10:00:00,276.52
190,2012-10-09 11:00:00,276.6
191,2012-10-09 12:00:00,277.31
192,2012-10-09 13:00:00,278.38
193,2012-10-09 14:00:00,279.35
194,2012-10-09 15:00:00,281.37
195,2012-10-09 16:00:00,283.11
196,2012-10-09 17:00:00,284.08
197,2012-10-09 18:00:00,285.14
198,2012-10-09 19:00:00,286.35
199,2012-10-09 20:00:00,287.23
200,2012-10-09 21:00:00,288.53
201,2012-10-09 22:00:00,290.37
202,2012-10-09 23:00:00,290.13
203,2012-10-10 00:00:00,288.86
204,2012-10-10 01:00:00,287.36
205,2012-10-10 02:00:00,285.11
206,2012-10-10 03:00:00,283.46
207,2012-10-10 04:00:00,282.45
208,2012-10-10 05:00:00,281.88
209,2012-10-10 06:00:00,281.78
210,2012-10-10 07:00:00,281.09
211,2012-10-10 08:00:00,281.17
212,2012-10-10 09:00:00,281.196666667
213,2012-10-10 10:00:00,281.223333333
214,2012-10-10 11:00:00,281.25
215,2012-10-10 12:00:00,281.25
216,2012-10-10 13:00:00,280.1
217,2012-10-10 14:00:00,279.61
218,2012-10-10 15:00:00,279.67
219,2012-10-10 16:00:00,280.19
220,2012-10-10 17:00:00,282.09
221,2012-10-10 18:00:00,282.26
222,2012-10-10 19:00:00,282.05
223,2012-10-10 20:00:00,281.59
224,2012-10-10 21:00:00,281.23
225,2012-10-10 22:00:00,281.915
226,2012-10-10 23:00:00,282.6
227,2012-10-11 00:00:00,282.6
228,2012-10-11 01:00:00,282.6
229,2012-10-11 02:00:00,282.6
230,2012-10-11 03:00:00,282.6
231,2012-10-11 04:00:00,282.6
232,2012-10-11 05:00:00,278.25
233,2012-10-11 06:00:00,273.9
234,2012-10-11 07:00:00,274.15
235,2012-10-11 08:00:00,274.4
236,2012-10-11 09:00:00,274.05
237,2012-10-11 10:00:00,273.71
238,2012-10-11 11:00:00,272.66
239,2012-10-11 12:00:00,272.65
240,2012-10-11 13:00:00,272.52
