,datetime,Indianapolis
0,2012-10-01 13:00:00,283.85
1,2012-10-01 14:00:00,283.889393939
2,2012-10-01 15:00:00,283.941919192
3,2012-10-01 16:00:00,283.994444444
4,2012-10-01 17:00:00,284.046969697
5,2012-10-01 18:00:00,284.099494949
6,2012-10-01 19:00:00,284.152020202
7,2012-10-01 20:00:00,284.204545455
8,2012-10-01 21:00:00,284.257070707
9,2012-10-01 22:00:00,284.30959596
10,2012-10-01 23:00:00,284.362121212
11,2012-10-02 00:00:00,284.414646465
12,2012-10-02 01:00:00,284.467171717
13,2012-10-02 02:00:00,284.51969697
14,2012-10-02 03:00:00,284.572222222
15,2012-10-02 04:00:00,284.624747475
16,2012-10-02 05:00:00,284.677272727
17,2012-10-02 06:00:00,284.72979798
18,2012-10-02 07:00:00,284.782323232
19,2012-10-02 08:00:00,284.834848485
20,2012-10-02 09:00:00,284.887373737
21,2012-10-02 10:00:00,284.93989899
22,2012-10-02 11:00:00,284.992424242
23,2012-10-02 12:00:00,285.044949495
24,2012-10-02 13:00:00,285.097474747
25,2012-10-02 14:00:00,285.15
26,2012-10-02 15:00:00,286.47
27,2012-10-02 16:00:00,287.47
28,2012-10-02 17:00:00,288.665
29,2012-10-02 18:00:00,289.86
30,2012-10-02 19:00:00,290.15
31,2012-10-02 20:00:00,289.45
32,2012-10-02 21:00:00,288.45
33,2012-10-02 22:00:00,287.45
34,2012-10-02 23:00:00,287.15
35,2012-10-03 00:00:00,286.56
36,2012-10-03 01:00:00,286.56
37,2012-10-03 02:00:00,286.15
38,2012-10-03 03:00:00,285.86
39,2012-10-03 04:00:00,285.15
40,2012-10-03 05:00:00,285.005
41,2012-10-03 06:00:00,284.86
42,2012-10-03 07:00:00,285.15
43,2012-10-03 08:00:00,285.15
44,2012-10-03 09:00:00,285.15
45,2012-10-03 10:00:00,285.15
46,2012-10-03 11:00:00,285.15
47,2012-10-03 12:00:00,285.15
48,2012-10-03 13:00:00,285.56
49,2012-10-03 14:00:00,285.86
50,2012-10-03 15:00:00,286.193333333
51,2012-10-03 16:00:00,286.526666667
52,2012-10-03 17:00:00,286.86
53,2012-10-03 18:00:00,287.86
54,2012-10-03 19:00:00,288.56
55,2012-10-03 20:00:00,288.56
56,2012-10-03 21:00:00,289.44
57,2012-10-03 22:00:00,289.295
58,2012-10-03 23:00:00,289.15
59,2012-10-04 00:00:00,289.15
60,2012-10-04 01:00:00,289.15
61,2012-10-04 02:00:00,288.86
62,2012-10-04 03:00:00,288.45
63,2012-10-04 04:00:00,287.45
64,2012-10-04 05:00:00,287.15
65,2012-10-04 06:00:00,287.15
66,2012-10-04 07:00:00,287.005
67,2012-10-04 08:00:00,286.86
68,2012-10-04 09:00:00,286.655
69,2012-10-04 10:00:00,286.45
70,2012-10-04 11:00:00,286.45
71,2012-10-04 12:00:00,286.45
72,2012-10-04 13:00:00,286.45
73,2012-10-04 14:00:00,286.45
74,2012-10-04 15:00:00,286.86
75,2012-10-04 16:00:00,288.85
76,2012-10-04 17:00:00,290.45
77,2012-10-04 18:00:00,291.27
78,2012-10-04 19:00:00,291.86
79,2012-10-04 20:00:00,293.31
80,2012-10-04 21:00:00,293.45
81,2012-10-04 22:00:00,293.37
82,2012-10-04 23:00:00,291.82
83,2012-10-05 00:00:00,289.74
84,2012-10-05 01:00:00,288.98
85,2012-10-05 02:00:00,288.7
86,2012-10-05 03:00:00,288.53
87,2012-10-05 04:00:00,288.12
88,2012-10-05 05:00:00,287.61
89,2012-10-05 06:00:00,286.86
90,2012-10-05 07:00:00,286.405
91,2012-10-05 08:00:00,285.95
92,2012-10-05 09:00:00,285.455
93,2012-10-05 10:00:00,284.96
94,2012-10-05 11:00:00,285.29
95,2012-10-05 12:00:00,286.22
96,2012-10-05 13:00:00,287.27
97,2012-10-05 14:00:00,290.01
98,2012-10-05 15:00:00,293.43
99,2012-10-05 16:00:00,295.7
100,2012-10-05 17:00:00,296.07
101,2012-10-05 18:00:00,296.99
102,2012-10-05 19:00:00,297.39
103,2012-10-05 20:00:00,297.52
104,2012-10-05 21:00:00,297.04
105,2012-10-05 22:00:00,297.28
106,2012-10-05 23:00:00,296.33
107,2012-10-06 00:00:00,293.21
108,2012-10-06 01:00:00,292.51
