,datetime,Vancouver
0,2012-10-01 13:00:00,284.63
1,2012-10-01 14:00:00,284.62904131
2,2012-10-01 15:00:00,284.626997923
3,2012-10-01 16:00:00,284.624954535
4,2012-10-01 17:00:00,284.622911147
5,2012-10-01 18:00:00,284.620867759
6,2012-10-01 19:00:00,284.618824371
7,2012-10-01 20:00:00,284.616780983
8,2012-10-01 21:00:00,284.614737595
9,2012-10-01 22:00:00,284.612694207
10,2012-10-01 23:00:00,284.610650819
11,2012-10-02 00:00:00,284.608607431
12,2012-10-02 01:00:00,284.606564043
13,2012-10-02 02:00:00,284.604520655
14,2012-10-02 03:00:00,284.602477267
15,2012-10-02 04:00:00,284.600433879
16,2012-10-02 05:00:00,284.598390491
17,2012-10-02 06:00:00,284.596347103
18,2012-10-02 07:00:00,284.594303716
19,2012-10-02 08:00:00,284.592260328
20,2012-10-02 09:00:00,284.59021694
21,2012-10-02 10:00:00,284.588173552
22,2012-10-02 11:00:00,284.586130164
23,2012-10-02 12:00:00,284.584086776
24,2012-10-02 13:00:00,284.582043388
25,2012-10-02 14:00:00,284.58
26,2012-10-02 15:00:00,284.85
27,2012-10-02 16:00:00,286.26
28,2012-10-02 17:00:00,286.77
29,2012-10-02 18:00:00,288.95
30,2012-10-02 19:00:00,289.51
31,2012-10-02 20:00:00,289.67
32,2012-10-02 21:00:00,290.29
33,2012-10-02 22:00:00,291.09
34,2012-10-02 23:00:00,291.18
35,2012-10-03 00:00:00,291.26
36,2012-10-03 01:00:00,290.62
37,2012-10-03 02:00:00,288.11
38,2012-10-03 03:00:00,287.21
39,2012-10-03 04:00:00,286.6
40,2012-10-03 05:00:00,285.96
41,2012-10-03 06:00:00,285.63
42,2012-10-03 07:00:00,284.71
43,2012-10-03 08:00:00,284.78
44,2012-10-03 09:00:00,284.24
45,2012-10-03 10:00:00,284.17
46,2012-10-03 11:00:00,283.25
47,2012-10-03 12:00:00,283.29
48,2012-10-03 13:00:00,283.35
49,2012-10-03 14:00:00,282.53
50,2012-10-03 15:00:00,282.83
51,2012-10-03 16:00:00,283.13
52,2012-10-03 17:00:00,283.43
53,2012-10-03 18:00:00,283.92
54,2012-10-03 19:00:00,285.06
55,2012-10-03 20:00:00,286.23
56,2012-10-03 21:00:00,286.73
57,2012-10-03 22:00:00,287.455
58,2012-10-03 23:00:00,288.18
59,2012-10-04 00:00:00,288.24
60,2012-10-04 01:00:00,286.5
61,2012-10-04 02:00:00,285.39
62,2012-10-04 03:00:00,284.26
63,2012-10-04 04:00:00,283.46
64,2012-10-04 05:00:00,283.74
65,2012-10-04 06:00:00,282.71
66,2012-10-04 07:00:00,282.44
67,2012-10-04 08:00:00,281.56
68,2012-10-04 09:00:00,281.42
69,2012-10-04 10:00:00,281.3
70,2012-10-04 11:00:00,280.97
71,2012-10-04 12:00:00,280.92
72,2012-10-04 13:00:00,280.91
73,2012-10-04 14:00:00,280.04
74,2012-10-04 15:00:00,280.15
75,2012-10-04 16:00:00,282.78
76,2012-10-04 17:00:00,284.38
77,2012-10-04 18:00:00,286.8
78,2012-10-04 19:00:00,288.56
79,2012-10-04 20:00:00,289.26
80,2012-10-04 21:00:00,289.36
81,2012-10-04 22:00:00,290.15
82,2012-10-04 23:00:00,289.66
83,2012-10-05 00:00:00,288.87
84,2012-10-05 01:00:00,287.18
85,2012-10-05 02:00:00,285.06
86,2012-10-05 03:00:00,283.93
87,2012-10-05 04:00:00,283.34
88,2012-10-05 05:00:00,282.68
89,2012-10-05 06:00:00,281.81
90,2012-10-05 07:00:00,281.23
91,2012-10-05 08:00:00,280.65
92,2012-10-05 09:00:00,280.325
93,2012-10-05 10:00:00,280.0
94,2012-10-05 11:00:00,279.86
95,2012-10-05 12:00:00,279.54
96,2012-10-05 13:00:00,278.57
97,2012-10-05 14:00:00,278.51
98,2012-10-05 15:00:00,278.91
99,2012-10-05 16:00:00,281.86
100,2012-10-05 17:00:00,282.78
101,2012-10-05 18:00:00,287.56
102,2012-10-05 19:00:00,288.12
103,2012-10-05 20:00:00,289.1
104,2012-10-05 21:00:00,289.53
105,2012-10-05 22:00:00,290.09
106,2012-10-05 23:00:00,290.67
107,2012-10-06 00:00:00,290.41
108,2012-10-06 01:00:00,288.83
109,2012-10-06 02:00:00,286.9
110,2012-10-06 03:00:00,285.3
111,2012-10-06 04:00:00,284.4
112,2012-10-06 05:00:00,283.59
113,2012-10-06 06:00:00,282.59
114,2012-10-06 07:00:00,282.29
115,2012-10-06 08:00:00,281.45
116,2012-10-06 09:00:00,280.61
117,2012-10-06 10:00:00,281.03
118,2012-10-06 11:00:00,280.97
119,2012-10-06 12:00:00,280.64
120,2012-10-06 13:00:00,280.18
121,2012-10-06 14:00:00,279.64
122,2012-10-06 15:00:00,279.54
123,2012-10-06 16:00:00,281.37
124,2012-10-06 17:00:00,284.48
125,2012-10-06 18:00:00,287.38
126,2012-10-06 19:00:00,289.94
127,2012-10-06 20:00:00,290.24
128,2012-10-06 21:00:00,290.61
129,2012-10-06 22:00:00,291.65
130,2012-10-06 23:00:00,291.78
131,2012-10-07 00:00:00,290.94
132,2012-10-07 01:00:00,289.96
133,2012-10-07 02:00:00,287.37
134,2012-10-07 03:00:00,286.74
135,2012-10-07 04:00:00,284.45
136,2012-10-07 05:00:00,284.12
137,2012-10-07 06:00:00,283.71
138,2012-10-07 07:00:00,283.3
139,2012-10-07 08:00:00,282.89
140,2012-10-07 09:00:00,282.49
141,2012-10-07 10:00:00,281.61
142,2012-10-07 11:00:00,282.07
143,2012-10-07 12:00:00,281.16
144,2012-10-07 13:00:00,280.46
145,2012-10-07 14:00:00,280.29
146,2012-10-07 15:00:00,280.76
147,2012-10-07 16:00:00,283.47
148,2012-10-07 17:00:00,285.62
149,2012-10-07 18:00:00,286.44
150,2012-10-07 19:00:00,288.93
151,2012-10-07 20:00:00,290.04
152,2012-10-07 21:00:00,291.3
153,2012-10-07 22:00:00,293.09
154,2012-10-07 23:00:00,293.09
155,2012-10-08 00:00:00,291.2
156,2012-10-08 01:00:00,289.65
157,2012-10-08 02:00:00,287.12
158,2012-10-08 03:00:00,286.42
159,2012-10-08 04:00:00,285.37
160,2012-10-08 05:00:00,284.99
