,datetime,Jacksonville
0,2012-10-01 13:00:00,298.17
1,2012-10-01 14:00:00,298.205229759
2,2012-10-01 15:00:00,298.299595186
3,2012-10-01 16:00:00,298.393960613
4,2012-10-01 17:00:00,298.488326039
5,2012-10-01 18:00:00,298.582691466
6,2012-10-01 19:00:00,298.677056893
7,2012-10-01 20:00:00,298.771422319
8,2012-10-01 21:00:00,298.865787746
9,2012-10-01 22:00:00,298.960153173
10,2012-10-01 23:00:00,299.0545186
11,2012-10-02 00:00:00,299.148884026
12,2012-10-02 01:00:00,299.243249453
13,2012-10-02 02:00:00,299.33761488
14,2012-10-02 03:00:00,299.431980306
15,2012-10-02 04:00:00,299.526345733
16,2012-10-02 05:00:00,299.62071116
17,2012-10-02 06:00:00,299.715076586
18,2012-10-02 07:00:00,299.809442013
19,2012-10-02 08:00:00,299.90380744
20,2012-10-02 09:00:00,299.998172867
21,2012-10-02 10:00:00,300.092538293
22,2012-10-02 11:00:00,300.18690372
23,2012-10-02 12:00:00,300.281269147
24,2012-10-02 13:00:00,300.375634573
25,2012-10-02 14:00:00,300.47
26,2012-10-02 15:00:00,302.28
27,2012-10-02 16:00:00,302.7
28,2012-10-02 17:00:00,304.02
29,2012-10-02 18:00:00,304.81
30,2012-10-02 19:00:00,304.6
31,2012-10-02 20:00:00,303.64
32,2012-10-02 21:00:00,302.45
33,2012-10-02 22:00:00,300.51
34,2012-10-02 23:00:00,299.66
35,2012-10-03 00:00:00,299.02
36,2012-10-03 01:00:00,298.66
37,2012-10-03 02:00:00,298.52
38,2012-10-03 03:00:00,298.07
39,2012-10-03 04:00:00,297.95
40,2012-10-03 05:00:00,297.82
41,2012-10-03 06:00:00,297.89
42,2012-10-03 07:00:00,297.89
43,2012-10-03 08:00:00,297.89
44,2012-10-03 09:00:00,297.51
45,2012-10-03 10:00:00,297.51
46,2012-10-03 11:00:00,297.51
47,2012-10-03 12:00:00,297.83
48,2012-10-03 13:00:00,298.61
49,2012-10-03 14:00:00,300.01
50,2012-10-03 15:00:00,301.233333333
51,2012-10-03 16:00:00,302.456666667
52,2012-10-03 17:00:00,303.68
53,2012-10-03 18:00:00,302.26
54,2012-10-03 19:00:00,303.89
55,2012-10-03 20:00:00,304.32
56,2012-10-03 21:00:00,302.17
57,2012-10-03 22:00:00,301.12
58,2012-10-03 23:00:00,300.07
59,2012-10-04 00:00:00,299.62
60,2012-10-04 01:00:00,299.04
61,2012-10-04 02:00:00,298.97
62,2012-10-04 03:00:00,298.79
63,2012-10-04 04:00:00,298.15
64,2012-10-04 05:00:00,297.71
65,2012-10-04 06:00:00,297.26
66,2012-10-04 07:00:00,297.26
67,2012-10-04 08:00:00,297.02
68,2012-10-04 09:00:00,296.95
69,2012-10-04 10:00:00,297.02
