,datetime,Charlotte
0,2012-10-01 13:00:00,288.65
1,2012-10-01 14:00:00,288.650172214
2,2012-10-01 15:00:00,288.650581705
3,2012-10-01 16:00:00,288.650991196
4,2012-10-01 17:00:00,288.651400687
5,2012-10-01 18:00:00,288.651810178
6,2012-10-01 19:00:00,288.652219669
7,2012-10-01 20:00:00,288.65262916
8,2012-10-01 21:00:00,288.653038651
9,2012-10-01 22:00:00,288.653448143
10,2012-10-01 23:00:00,288.653857634
11,2012-10-02 00:00:00,288.654267125
12,2012-10-02 01:00:00,288.654676616
13,2012-10-02 02:00:00,288.655086107
14,2012-10-02 03:00:00,288.655495598
15,2012-10-02 04:00:00,288.655905089
16,2012-10-02 05:00:00,288.65631458
17,2012-10-02 06:00:00,288.656724071
18,2012-10-02 07:00:00,288.657133562
19,2012-10-02 08:00:00,288.657543053
20,2012-10-02 09:00:00,288.657952545
21,2012-10-02 10:00:00,288.658362036
22,2012-10-02 11:00:00,288.658771527
23,2012-10-02 12:00:00,288.659181018
24,2012-10-02 13:00:00,288.659590509
25,2012-10-02 14:00:00,288.66
26,2012-10-02 15:00:00,288.6
27,2012-10-02 16:00:00,288.65
28,2012-10-02 17:00:00,288.65
29,2012-10-02 18:00:00,288.91
30,2012-10-02 19:00:00,289.25
31,2012-10-02 20:00:00,289.59
32,2012-10-02 21:00:00,289.7
33,2012-10-02 22:00:00,289.64
34,2012-10-02 23:00:00,289.83
35,2012-10-03 00:00:00,289.81
36,2012-10-03 01:00:00,290.36
37,2012-10-03 02:00:00,290.48
38,2012-10-03 03:00:00,291.07
39,2012-10-03 04:00:00,291.54
40,2012-10-03 05:00:00,292.46
41,2012-10-03 06:00:00,293.2
42,2012-10-03 07:00:00,294.45
43,2012-10-03 08:00:00,294.51
44,2012-10-03 09:00:00,294.98
45,2012-10-03 10:00:00,295.5
46,2012-10-03 11:00:00,295.56
47,2012-10-03 12:00:00,295.98
48,2012-10-03 13:00:00,296.36
49,2012-10-03 14:00:00,298.06
50,2012-10-03 15:00:00,298.146666667
51,2012-10-03 16:00:00,298.233333333
52,2012-10-03 17:00:00,298.32
53,2012-10-03 18:00:00,299.79
54,2012-10-03 19:00:00,299.93
55,2012-10-03 20:00:00,299.35
56,2012-10-03 21:00:00,299.62
57,2012-10-03 22:00:00,298.455
58,2012-10-03 23:00:00,297.29
59,2012-10-04 00:00:00,295.51
60,2012-10-04 01:00:00,294.14
61,2012-10-04 02:00:00,293.84
62,2012-10-04 03:00:00,293.57
63,2012-10-04 04:00:00,293.38
64,2012-10-04 05:00:00,293.18
65,2012-10-04 06:00:00,293.3
66,2012-10-04 07:00:00,293.23
67,2012-10-04 08:00:00,292.86
68,2012-10-04 09:00:00,292.79
69,2012-10-04 10:00:00,292.47
70,2012-10-04 11:00:00,292.07
71,2012-10-04 12:00:00,292.24
72,2012-10-04 13:00:00,292.6
73,2012-10-04 14:00:00,295.32
74,2012-10-04 15:00:00,296.92
75,2012-10-04 16:00:00,298.65
76,2012-10-04 17:00:00,298.44
77,2012-10-04 18:00:00,298.31
78,2012-10-04 19:00:00,297.41
79,2012-10-04 20:00:00,296.88
80,2012-10-04 21:00:00,296.5
81,2012-10-04 22:00:00,295.66
82,2012-10-04 23:00:00,294.87
83,2012-10-05 00:00:00,294.24
84,2012-10-05 01:00:00,293.68
85,2012-10-05 02:00:00,293.44
86,2012-10-05 03:00:00,292.95
87,2012-10-05 04:00:00,292.36
88,2012-10-05 05:00:00,292.12
89,2012-10-05 06:00:00,291.47
90,2012-10-05 07:00:00,291.415
91,2012-10-05 08:00:00,291.36
92,2012-10-05 09:00:00,291.325
93,2012-10-05 10:00:00,291.29
94,2012-10-05 11:00:00,291.34
95,2012-10-05 12:00:00,291.53
96,2012-10-05 13:00:00,291.69
97,2012-10-05 14:00:00,292.94
98,2012-10-05 15:00:00,294.61
99,2012-10-05 16:00:00,296.11
100,2012-10-05 17:00:00,296.39
101,2012-10-05 18:00:00,297.54
102,2012-10-05 19:00:00,298.26
103,2012-10-05 20:00:00,299.18
104,2012-10-05 21:00:00,299.23
105,2012-10-05 22:00:00,298.57
106,2012-10-05 23:00:00,297.28
107,2012-10-06 00:00:00,293.46
108,2012-10-06 01:00:00,292.12
109,2012-10-06 02:00:00,291.76
110,2012-10-06 03:00:00,290.67
111,2012-10-06 04:00:00,290.07
112,2012-10-06 05:00:00,289.91
113,2012-10-06 06:00:00,289.53
114,2012-10-06 07:00:00,289.25
115,2012-10-06 08:00:00,288.64
116,2012-10-06 09:00:00,288.03
117,2012-10-06 10:00:00,287.27
118,2012-10-06 11:00:00,286.98
119,2012-10-06 12:00:00,287.12
120,2012-10-06 13:00:00,288.12
121,2012-10-06 14:00:00,291.58
122,2012-10-06 15:00:00,296.3
123,2012-10-06 16:00:00,297.29
124,2012-10-06 17:00:00,298.5
125,2012-10-06 18:00:00,299.3
126,2012-10-06 19:00:00,299.57
127,2012-10-06 20:00:00,300.05
128,2012-10-06 21:00:00,299.53
129,2012-10-06 22:00:00,298.41
130,2012-10-06 23:00:00,294.99
131,2012-10-07 00:00:00,293.73
132,2012-10-07 01:00:00,292.46
133,2012-10-07 02:00:00,291.41
134,2012-10-07 03:00:00,290.77
135,2012-10-07 04:00:00,289.88
136,2012-10-07 05:00:00,289.81
137,2012-10-07 06:00:00,289.36
138,2012-10-07 07:00:00,288.91
139,2012-10-07 08:00:00,288.46
140,2012-10-07 09:00:00,288.2
141,2012-10-07 10:00:00,288.04
142,2012-10-07 11:00:00,287.53
143,2012-10-07 12:00:00,288.19
144,2012-10-07 13:00:00,290.75
145,2012-10-07 14:00:00,293.51
146,2012-10-07 15:00:00,296.39
147,2012-10-07 16:00:00,298.41
148,2012-10-07 17:00:00,299.59
149,2012-10-07 18:00:00,300.05
150,2012-10-07 19:00:00,300.71
151,2012-10-07 20:00:00,300.26
152,2012-10-07 21:00:00,299.66
153,2012-10-07 22:00:00,298.2
154,2012-10-07 23:00:00,295.9
155,2012-10-08 00:00:00,294.58
156,2012-10-08 01:00:00,293.1
157,2012-10-08 02:00:00,291.9
158,2012-10-08 03:00:00,291.01
159,2012-10-08 04:00:00,289.82
160,2012-10-08 05:00:00,289.39
161,2012-10-08 06:00:00,288.59
162,2012-10-08 07:00:00,287.87
163,2012-10-08 08:00:00,287.19
164,2012-10-08 09:00:00,286.81
165,2012-10-08 10:00:00,286.3
166,2012-10-08 11:00:00,285.79
167,2012-10-08 12:00:00,285.04
168,2012-10-08 13:00:00,285.78
169,2012-10-08 14:00:00,286.16
170,2012-10-08 15:00:00,286.74
171,2012-10-08 16:00:00,286.94
172,2012-10-08 17:00:00,286.86
173,2012-10-08 18:00:00,287.03
174,2012-10-08 19:00:00,286.94
175,2012-10-08 20:00:00,286.87
176,2012-10-08 21:00:00,286.55
177,2012-10-08 22:00:00,286.01
178,2012-10-08 23:00:00,285.78
179,2012-10-09 00:00:00,285.63
180,2012-10-09 01:00:00,285.55
181,2012-10-09 02:00:00,285.35
182,2012-10-09 03:00:00,285.04
183,2012-10-09 04:00:00,284.96
184,2012-10-09 05:00:00,284.96
185,2012-10-09 06:00:00,284.47
186,2012-10-09 07:00:00,284.39
187,2012-10-09 08:00:00,284.24
188,2012-10-09 09:00:00,284.09
189,2012-10-09 10:00:00,283.93
190,2012-10-09 11:00:00,283.43
191,2012-10-09 12:00:00,283.29
192,2012-10-09 13:00:00,283.14
193,2012-10-09 14:00:00,283.51
194,2012-10-09 15:00:00,283.93
195,2012-10-09 16:00:00,283.85
196,2012-10-09 17:00:00,283.99
197,2012-10-09 18:00:00,283.85
198,2012-10-09 19:00:00,283.63
199,2012-10-09 20:00:00,283.05
200,2012-10-09 21:00:00,282.81
201,2012-10-09 22:00:00,282.1
202,2012-10-09 23:00:00,281.89
203,2012-10-10 00:00:00,281.59
204,2012-10-10 01:00:00,281.22
205,2012-10-10 02:00:00,281.07
206,2012-10-10 03:00:00,281.0
207,2012-10-10 04:00:00,280.99
208,2012-10-10 05:00:00,280.99
209,2012-10-10 06:00:00,280.72
210,2012-10-10 07:00:00,280.78
211,2012-10-10 08:00:00,280.78
212,2012-10-10 09:00:00,280.906666667
213,2012-10-10 10:00:00,281.033333333
214,2012-10-10 11:00:00,281.16
215,2012-10-10 12:00:00,281.3
216,2012-10-10 13:00:00,281.89
217,2012-10-10 14:00:00,282.39
218,2012-10-10 15:00:00,282.7
219,2012-10-10 16:00:00,284.03
220,2012-10-10 17:00:00,285.35
221,2012-10-10 18:00:00,286.31
222,2012-10-10 19:00:00,286.68
223,2012-10-10 20:00:00,286.85
224,2012-10-10 21:00:00,287.04
225,2012-10-10 22:00:00,288.92
226,2012-10-10 23:00:00,290.8
227,2012-10-11 00:00:00,290.8
228,2012-10-11 01:00:00,290.8
229,2012-10-11 02:00:00,290.8
230,2012-10-11 03:00:00,290.8
231,2012-10-11 04:00:00,290.8
232,2012-10-11 05:00:00,287.53
233,2012-10-11 06:00:00,284.26
234,2012-10-11 07:00:00,283.605
235,2012-10-11 08:00:00,282.95
236,2012-10-11 09:00:00,282.61
237,2012-10-11 10:00:00,282.35
238,2012-10-11 11:00:00,281.34
239,2012-10-11 12:00:00,281.78
240,2012-10-11 13:00:00,282.66
241,2012-10-11 14:00:00,286.31
242,2012-10-11 15:00:00,286.78
243,2012-10-11 16:00:00,288.76
244,2012-10-11 17:00:00,290.74
245,2012-10-11 18:00:00,292.72
246,2012-10-11 19:00:00,294.7
247,2012-10-11 20:00:00,294.7
248,2012-10-11 21:00:00,294.62
249,2012-10-11 22:00:00,292.98
