,datetime,Philadelphia
0,2012-10-01 13:00:00,285.63
1,2012-10-01 14:00:00,285.663207797
2,2012-10-01 15:00:00,285.756824139
3,2012-10-01 16:00:00,285.85044048
4,2012-10-01 17:00:00,285.944056822
5,2012-10-01 18:00:00,286.037673164
6,2012-10-01 19:00:00,286.131289506
7,2012-10-01 20:00:00,286.224905848
8,2012-10-01 21:00:00,286.318522189
9,2012-10-01 22:00:00,286.412138531
10,2012-10-01 23:00:00,286.505754873
11,2012-10-02 00:00:00,286.599371215
12,2012-10-02 01:00:00,286.692987557
13,2012-10-02 02:00:00,286.786603898
14,2012-10-02 03:00:00,286.88022024
15,2012-10-02 04:00:00,286.973836582
16,2012-10-02 05:00:00,287.067452924
17,2012-10-02 06:00:00,287.161069266
18,2012-10-02 07:00:00,287.254685607
19,2012-10-02 08:00:00,287.348301949
20,2012-10-02 09:00:00,287.441918291
21,2012-10-02 10:00:00,287.535534633
22,2012-10-02 11:00:00,287.629150975
23,2012-10-02 12:00:00,287.722767316
24,2012-10-02 13:00:00,287.816383658
25,2012-10-02 14:00:00,287.91
26,2012-10-02 15:00:00,290.58
27,2012-10-02 16:00:00,291.7
28,2012-10-02 17:00:00,292.57
29,2012-10-02 18:00:00,293.74
30,2012-10-02 19:00:00,294.09
31,2012-10-02 20:00:00,294.15
32,2012-10-02 21:00:00,293.94
33,2012-10-02 22:00:00,292.06
34,2012-10-02 23:00:00,290.1
35,2012-10-03 00:00:00,289.69
36,2012-10-03 01:00:00,289.28
37,2012-10-03 02:00:00,289.06
38,2012-10-03 03:00:00,288.96
39,2012-10-03 04:00:00,288.63
40,2012-10-03 05:00:00,288.82
41,2012-10-03 06:00:00,288.86
42,2012-10-03 07:00:00,288.97
43,2012-10-03 08:00:00,289.08
44,2012-10-03 09:00:00,289.12
45,2012-10-03 10:00:00,289.26
46,2012-10-03 11:00:00,289.47
47,2012-10-03 12:00:00,290.26
48,2012-10-03 13:00:00,291.05
49,2012-10-03 14:00:00,291.52
50,2012-10-03 15:00:00,291.71
51,2012-10-03 16:00:00,291.9
52,2012-10-03 17:00:00,292.09
53,2012-10-03 18:00:00,291.48
54,2012-10-03 19:00:00,291.73
55,2012-10-03 20:00:00,291.83
56,2012-10-03 21:00:00,291.81
57,2012-10-03 22:00:00,291.905
58,2012-10-03 23:00:00,292.0
59,2012-10-04 00:00:00,291.99
60,2012-10-04 01:00:00,291.76
61,2012-10-04 02:00:00,291.76
62,2012-10-04 03:00:00,291.62
63,2012-10-04 04:00:00,291.53
64,2012-10-04 05:00:00,291.29
65,2012-10-04 06:00:00,291.15
66,2012-10-04 07:00:00,291.18
67,2012-10-04 08:00:00,291.26
68,2012-10-04 09:00:00,291.34
69,2012-10-04 10:00:00,291.46
70,2012-10-04 11:00:00,291.62
71,2012-10-04 12:00:00,291.94
72,2012-10-04 13:00:00,292.21
73,2012-10-04 14:00:00,293.22
74,2012-10-04 15:00:00,294.25
75,2012-10-04 16:00:00,295.42
76,2012-10-04 17:00:00,296.81
77,2012-10-04 18:00:00,298.22
78,2012-10-04 19:00:00,298.6
79,2012-10-04 20:00:00,298.55
80,2012-10-04 21:00:00,297.81
81,2012-10-04 22:00:00,296.76
82,2012-10-04 23:00:00,295.46
83,2012-10-05 00:00:00,294.39
84,2012-10-05 01:00:00,293.49
85,2012-10-05 02:00:00,293.2
86,2012-10-05 03:00:00,292.67
87,2012-10-05 04:00:00,292.29
88,2012-10-05 05:00:00,292.1
89,2012-10-05 06:00:00,292.03
90,2012-10-05 07:00:00,291.855
91,2012-10-05 08:00:00,291.68
92,2012-10-05 09:00:00,292.045
93,2012-10-05 10:00:00,292.41
94,2012-10-05 11:00:00,292.28
95,2012-10-05 12:00:00,292.63
96,2012-10-05 13:00:00,293.5
97,2012-10-05 14:00:00,294.33
98,2012-10-05 15:00:00,295.12
99,2012-10-05 16:00:00,295.87
100,2012-10-05 17:00:00,296.37
101,2012-10-05 18:00:00,296.95
102,2012-10-05 19:00:00,297.02
103,2012-10-05 20:00:00,296.91
104,2012-10-05 21:00:00,296.9
105,2012-10-05 22:00:00,296.0
106,2012-10-05 23:00:00,294.34
107,2012-10-06 00:00:00,292.84
108,2012-10-06 01:00:00,291.77
109,2012-10-06 02:00:00,290.97
110,2012-10-06 03:00:00,289.79
111,2012-10-06 04:00:00,289.02
112,2012-10-06 05:00:00,288.44
113,2012-10-06 06:00:00,288.05
114,2012-10-06 07:00:00,287.77
115,2012-10-06 08:00:00,287.34
116,2012-10-06 09:00:00,286.91
117,2012-10-06 10:00:00,286.78
118,2012-10-06 11:00:00,286.45
119,2012-10-06 12:00:00,287.41
120,2012-10-06 13:00:00,289.87
121,2012-10-06 14:00:00,292.68
122,2012-10-06 15:00:00,295.05
123,2012-10-06 16:00:00,296.68
124,2012-10-06 17:00:00,297.72
125,2012-10-06 18:00:00,298.3
126,2012-10-06 19:00:00,298.37
127,2012-10-06 20:00:00,298.41
128,2012-10-06 21:00:00,298.04
129,2012-10-06 22:00:00,296.51
130,2012-10-06 23:00:00,293.07
131,2012-10-07 00:00:00,291.59
132,2012-10-07 01:00:00,290.97
133,2012-10-07 02:00:00,290.73
134,2012-10-07 03:00:00,290.15
135,2012-10-07 04:00:00,289.66
136,2012-10-07 05:00:00,289.16
137,2012-10-07 06:00:00,288.636666667
138,2012-10-07 07:00:00,288.113333333
139,2012-10-07 08:00:00,287.59
140,2012-10-07 09:00:00,287.72
141,2012-10-07 10:00:00,288.33
142,2012-10-07 11:00:00,288.78
143,2012-10-07 12:00:00,290.0
144,2012-10-07 13:00:00,292.18
145,2012-10-07 14:00:00,294.36
146,2012-10-07 15:00:00,295.78
147,2012-10-07 16:00:00,296.12
148,2012-10-07 17:00:00,296.0
149,2012-10-07 18:00:00,295.55
150,2012-10-07 19:00:00,293.96
151,2012-10-07 20:00:00,293.03
152,2012-10-07 21:00:00,292.24
153,2012-10-07 22:00:00,289.89
154,2012-10-07 23:00:00,288.11
155,2012-10-08 00:00:00,286.58
156,2012-10-08 01:00:00,285.38
157,2012-10-08 02:00:00,284.2
158,2012-10-08 03:00:00,283.34
159,2012-10-08 04:00:00,282.71
160,2012-10-08 05:00:00,282.65
161,2012-10-08 06:00:00,282.06
162,2012-10-08 07:00:00,281.15
163,2012-10-08 08:00:00,280.3
164,2012-10-08 09:00:00,279.78
165,2012-10-08 10:00:00,279.57
166,2012-10-08 11:00:00,280.45
167,2012-10-08 12:00:00,281.67
168,2012-10-08 13:00:00,282.64
169,2012-10-08 14:00:00,283.15
170,2012-10-08 15:00:00,283.17
171,2012-10-08 16:00:00,282.86
172,2012-10-08 17:00:00,283.12
