,datetime,Albuquerque
0,2012-10-01 13:00:00,285.12
1,2012-10-01 14:00:00,285.154558187
2,2012-10-01 15:00:00,285.233951595
3,2012-10-01 16:00:00,285.313345004
4,2012-10-01 17:00:00,285.392738413
5,2012-10-01 18:00:00,285.472131822
6,2012-10-01 19:00:00,285.551525231
7,2012-10-01 20:00:00,285.63091864
8,2012-10-01 21:00:00,285.710312049
9,2012-10-01 22:00:00,285.789705458
10,2012-10-01 23:00:00,285.869098867
11,2012-10-02 00:00:00,285.948492276
12,2012-10-02 01:00:00,286.027885684
13,2012-10-02 02:00:00,286.107279093
14,2012-10-02 03:00:00,286.186672502
15,2012-10-02 04:00:00,286.266065911
16,2012-10-02 05:00:00,286.34545932
17,2012-10-02 06:00:00,286.424852729
18,2012-10-02 07:00:00,286.504246138
19,2012-10-02 08:00:00,286.583639547
20,2012-10-02 09:00:00,286.663032956
21,2012-10-02 10:00:00,286.742426364
22,2012-10-02 11:00:00,286.821819773
23,2012-10-02 12:00:00,286.901213182
24,2012-10-02 13:00:00,286.980606591
25,2012-10-02 14:00:00,287.06
26,2012-10-02 15:00:00,289.91
27,2012-10-02 16:00:00,291.47
28,2012-10-02 17:00:00,292.86
29,2012-10-02 18:00:00,295.52
30,2012-10-02 19:00:00,295.95
31,2012-10-02 20:00:00,297.24
32,2012-10-02 21:00:00,298.06
33,2012-10-02 22:00:00,297.94
34,2012-10-02 23:00:00,298.01
35,2012-10-03 00:00:00,296.84
36,2012-10-03 01:00:00,294.38
37,2012-10-03 02:00:00,291.86
38,2012-10-03 03:00:00,291.42
39,2012-10-03 04:00:00,291.71
40,2012-10-03 05:00:00,291.18
41,2012-10-03 06:00:00,289.46
42,2012-10-03 07:00:00,288.43
43,2012-10-03 08:00:00,287.8
44,2012-10-03 09:00:00,287.16
45,2012-10-03 10:00:00,286.26
46,2012-10-03 11:00:00,286.03
47,2012-10-03 12:00:00,284.71
48,2012-10-03 13:00:00,284.32
49,2012-10-03 14:00:00,285.49
50,2012-10-03 15:00:00,287.816666667
51,2012-10-03 16:00:00,290.143333333
52,2012-10-03 17:00:00,292.47
53,2012-10-03 18:00:00,294.53
54,2012-10-03 19:00:00,295.58
55,2012-10-03 20:00:00,296.2
56,2012-10-03 21:00:00,297.86
57,2012-10-03 22:00:00,298.38
58,2012-10-03 23:00:00,298.9
59,2012-10-04 00:00:00,298.78
60,2012-10-04 01:00:00,296.16
61,2012-10-04 02:00:00,294.63
62,2012-10-04 03:00:00,292.57
63,2012-10-04 04:00:00,292.06
64,2012-10-04 05:00:00,290.23
65,2012-10-04 06:00:00,288.77
66,2012-10-04 07:00:00,288.61
67,2012-10-04 08:00:00,288.61
68,2012-10-04 09:00:00,288.9
69,2012-10-04 10:00:00,286.88
70,2012-10-04 11:00:00,286.35
71,2012-10-04 12:00:00,286.09
72,2012-10-04 13:00:00,287.84
73,2012-10-04 14:00:00,287.74
74,2012-10-04 15:00:00,290.84
75,2012-10-04 16:00:00,293.01
76,2012-10-04 17:00:00,295.89
77,2012-10-04 18:00:00,297.76
78,2012-10-04 19:00:00,298.91
79,2012-10-04 20:00:00,300.13
80,2012-10-04 21:00:00,301.41
81,2012-10-04 22:00:00,301.13
82,2012-10-04 23:00:00,301.01
83,2012-10-05 00:00:00,299.0
84,2012-10-05 01:00:00,296.67
85,2012-10-05 02:00:00,294.47
86,2012-10-05 03:00:00,293.85
87,2012-10-05 04:00:00,292.75
88,2012-10-05 05:00:00,290.82
89,2012-10-05 06:00:00,289.43
90,2012-10-05 07:00:00,289.025
91,2012-10-05 08:00:00,288.62
92,2012-10-05 09:00:00,287.875
93,2012-10-05 10:00:00,287.13
94,2012-10-05 11:00:00,286.62
95,2012-10-05 12:00:00,285.91
96,2012-10-05 13:00:00,285.29
97,2012-10-05 14:00:00,286.98
98,2012-10-05 15:00:00,291.37
99,2012-10-05 16:00:00,293.68
100,2012-10-05 17:00:00,294.85
101,2012-10-05 18:00:00,297.26
102,2012-10-05 19:00:00,297.64
103,2012-10-05 20:00:00,298.65
104,2012-10-05 21:00:00,299.87
105,2012-10-05 22:00:00,299.93
106,2012-10-05 23:00:00,300.21
107,2012-10-06 00:00:00,298.81
108,2012-10-06 01:00:00,297.05
109,2012-10-06 02:00:00,295.62
110,2012-10-06 03:00:00,295.01
111,2012-10-06 04:00:00,292.81
112,2012-10-06 05:00:00,292.31
113,2012-10-06 06:00:00,291.83
114,2012-10-06 07:00:00,291.98
115,2012-10-06 08:00:00,290.58
116,2012-10-06 09:00:00,289.18
117,2012-10-06 10:00:00,289.08
118,2012-10-06 11:00:00,287.98
119,2012-10-06 12:00:00,286.82
120,2012-10-06 13:00:00,287.11
121,2012-10-06 14:00:00,287.82
122,2012-10-06 15:00:00,289.97
123,2012-10-06 16:00:00,291.41
124,2012-10-06 17:00:00,293.14
125,2012-10-06 18:00:00,294.74
126,2012-10-06 19:00:00,296.0
127,2012-10-06 20:00:00,297.45
128,2012-10-06 21:00:00,297.43
129,2012-10-06 22:00:00,297.82
130,2012-10-06 23:00:00,297.3
131,2012-10-07 00:00:00,296.51
132,2012-10-07 01:00:00,294.64
133,2012-10-07 02:00:00,293.63
134,2012-10-07 03:00:00,292.47
135,2012-10-07 04:00:00,291.65
136,2012-10-07 05:00:00,290.67
137,2012-10-07 06:00:00,289.06
138,2012-10-07 07:00:00,287.45
139,2012-10-07 08:00:00,285.84
140,2012-10-07 09:00:00,285.17
141,2012-10-07 10:00:00,280.35
142,2012-10-07 11:00:00,279.98
143,2012-10-07 12:00:00,280.35
144,2012-10-07 13:00:00,281.18
145,2012-10-07 14:00:00,280.79
146,2012-10-07 15:00:00,282.51
147,2012-10-07 16:00:00,288.15
148,2012-10-07 17:00:00,292.125
149,2012-10-07 18:00:00,296.1
150,2012-10-07 19:00:00,291.48
151,2012-10-07 20:00:00,292.55
152,2012-10-07 21:00:00,293.11
153,2012-10-07 22:00:00,293.15
154,2012-10-07 23:00:00,291.44
155,2012-10-08 00:00:00,285.93
156,2012-10-08 01:00:00,283.71
157,2012-10-08 02:00:00,282.04
158,2012-10-08 03:00:00,296.1
159,2012-10-08 04:00:00,296.1
160,2012-10-08 05:00:00,296.1
161,2012-10-08 06:00:00,276.31
162,2012-10-08 07:00:00,275.75
163,2012-10-08 08:00:00,275.08
164,2012-10-08 09:00:00,274.94
165,2012-10-08 10:00:00,274.66
166,2012-10-08 11:00:00,274.37
167,2012-10-08 12:00:00,274.66
168,2012-10-08 13:00:00,274.52
169,2012-10-08 14:00:00,274.39
170,2012-10-08 15:00:00,273.15
171,2012-10-08 16:00:00,277.99
172,2012-10-08 17:00:00,281.28
173,2012-10-08 18:00:00,284.88
174,2012-10-08 19:00:00,284.58
175,2012-10-08 20:00:00,286.78
176,2012-10-08 21:00:00,288.12
177,2012-10-08 22:00:00,288.41
178,2012-10-08 23:00:00,287.85
179,2012-10-09 00:00:00,287.56
180,2012-10-09 01:00:00,284.94
181,2012-10-09 02:00:00,282.15
182,2012-10-09 03:00:00,282.55
183,2012-10-09 04:00:00,282.95
184,2012-10-09 05:00:00,281.48
185,2012-10-09 06:00:00,279.15
186,2012-10-09 07:00:00,276.93
187,2012-10-09 08:00:00,278.88
188,2012-10-09 09:00:00,280.83
189,2012-10-09 10:00:00,280.37
190,2012-10-09 11:00:00,279.67
191,2012-10-09 12:00:00,278.9
192,2012-10-09 13:00:00,278.79
193,2012-10-09 14:00:00,280.2
194,2012-10-09 15:00:00,283.66
195,2012-10-09 16:00:00,286.25
196,2012-10-09 17:00:00,287.5
197,2012-10-09 18:00:00,289.64
198,2012-10-09 19:00:00,291.18
199,2012-10-09 20:00:00,292.72
200,2012-10-09 21:00:00,294.01
201,2012-10-09 22:00:00,294.95
202,2012-10-09 23:00:00,294.7
203,2012-10-10 00:00:00,294.01
204,2012-10-10 01:00:00,291.85
205,2012-10-10 02:00:00,289.74
206,2012-10-10 03:00:00,289.7
207,2012-10-10 04:00:00,288.45
208,2012-10-10 05:00:00,287.57
209,2012-10-10 06:00:00,286.61
210,2012-10-10 07:00:00,284.56
211,2012-10-10 08:00:00,283.75
212,2012-10-10 09:00:00,282.916666667
213,2012-10-10 10:00:00,282.083333333
214,2012-10-10 11:00:00,281.25
