,datetime,Boston
0,2012-10-01 13:00:00,287.17
1,2012-10-01 14:00:00,287.186092094
2,2012-10-01 15:00:00,287.23167159
3,2012-10-01 16:00:00,287.277251086
4,2012-10-01 17:00:00,287.322830583
5,2012-10-01 18:00:00,287.368410079
6,2012-10-01 19:00:00,287.413989575
7,2012-10-01 20:00:00,287.459569071
8,2012-10-01 21:00:00,287.505148567
9,2012-10-01 22:00:00,287.550728063
10,2012-10-01 23:00:00,287.596307559
11,2012-10-02 00:00:00,287.641887055
12,2012-10-02 01:00:00,287.687466551
13,2012-10-02 02:00:00,287.733046047
14,2012-10-02 03:00:00,287.778625543
15,2012-10-02 04:00:00,287.824205039
16,2012-10-02 05:00:00,287.869784535
17,2012-10-02 06:00:00,287.915364031
18,2012-10-02 07:00:00,287.960943528
19,2012-10-02 08:00:00,288.006523024
20,2012-10-02 09:00:00,288.05210252
21,2012-10-02 10:00:00,288.097682016
22,2012-10-02 11:00:00,288.143261512
23,2012-10-02 12:00:00,288.188841008
24,2012-10-02 13:00:00,288.234420504
25,2012-10-02 14:00:00,288.28
26,2012-10-02 15:00:00,289.54
27,2012-10-02 16:00:00,289.78
28,2012-10-02 17:00:00,290.44
29,2012-10-02 18:00:00,291.41
30,2012-10-02 19:00:00,291.59
31,2012-10-02 20:00:00,291.8
32,2012-10-02 21:00:00,291.6
33,2012-10-02 22:00:00,290.86
34,2012-10-02 23:00:00,289.88
35,2012-10-03 00:00:00,288.72
36,2012-10-03 01:00:00,288.05
37,2012-10-03 02:00:00,287.62
38,2012-10-03 03:00:00,287.07
39,2012-10-03 04:00:00,286.63
40,2012-10-03 05:00:00,286.28
41,2012-10-03 06:00:00,286.18
42,2012-10-03 07:00:00,286.2
43,2012-10-03 08:00:00,286.15
44,2012-10-03 09:00:00,286.12
45,2012-10-03 10:00:00,286.42
46,2012-10-03 11:00:00,286.57
47,2012-10-03 12:00:00,288.6
48,2012-10-03 13:00:00,289.55
49,2012-10-03 14:00:00,291.51
50,2012-10-03 15:00:00,292.243333333
51,2012-10-03 16:00:00,292.976666667
52,2012-10-03 17:00:00,293.71
53,2012-10-03 18:00:00,293.01
54,2012-10-03 19:00:00,292.07
55,2012-10-03 20:00:00,290.76
56,2012-10-03 21:00:00,290.25
57,2012-10-03 22:00:00,290.02
58,2012-10-03 23:00:00,289.79
59,2012-10-04 00:00:00,289.56
60,2012-10-04 01:00:00,289.46
61,2012-10-04 02:00:00,289.49
62,2012-10-04 03:00:00,289.53
63,2012-10-04 04:00:00,289.59
64,2012-10-04 05:00:00,289.62
65,2012-10-04 06:00:00,289.68
66,2012-10-04 07:00:00,289.64
67,2012-10-04 08:00:00,289.47
68,2012-10-04 09:00:00,289.47
69,2012-10-04 10:00:00,289.47
70,2012-10-04 11:00:00,289.41
71,2012-10-04 12:00:00,289.73
72,2012-10-04 13:00:00,290.19
73,2012-10-04 14:00:00,290.7
74,2012-10-04 15:00:00,290.96
75,2012-10-04 16:00:00,291.15
76,2012-10-04 17:00:00,291.17
77,2012-10-04 18:00:00,291.05
78,2012-10-04 19:00:00,290.83
79,2012-10-04 20:00:00,290.62
80,2012-10-04 21:00:00,290.47
81,2012-10-04 22:00:00,289.96
82,2012-10-04 23:00:00,289.83
