,datetime,Beersheba
0,2012-10-01 13:00:00,307.59
1,2012-10-01 14:00:00,307.59
2,2012-10-01 15:00:00,307.391512749
3,2012-10-01 16:00:00,307.145199718
4,2012-10-01 17:00:00,306.898886687
5,2012-10-01 18:00:00,306.652573655
6,2012-10-01 19:00:00,306.406260624
7,2012-10-01 20:00:00,306.159947593
8,2012-10-01 21:00:00,305.913634562
9,2012-10-01 22:00:00,305.667321531
10,2012-10-01 23:00:00,305.421008499
11,2012-10-02 00:00:00,305.174695468
12,2012-10-02 01:00:00,304.928382437
13,2012-10-02 02:00:00,304.682069406
14,2012-10-02 03:00:00,304.435756375
15,2012-10-02 04:00:00,304.189443343
16,2012-10-02 05:00:00,303.943130312
17,2012-10-02 06:00:00,303.696817281
18,2012-10-02 07:00:00,303.45050425
19,2012-10-02 08:00:00,303.204191218
20,2012-10-02 09:00:00,302.957878187
21,2012-10-02 10:00:00,302.711565156
22,2012-10-02 11:00:00,302.465252125
23,2012-10-02 12:00:00,302.218939094
24,2012-10-02 13:00:00,301.972626062
25,2012-10-02 14:00:00,301.726313031
26,2012-10-02 15:00:00,301.48
27,2012-10-02 16:00:00,300.925
28,2012-10-02 17:00:00,300.37
29,2012-10-02 18:00:00,302.04
30,2012-10-02 19:00:00,301.48
31,2012-10-02 20:00:00,299.26
32,2012-10-02 21:00:00,298.71
33,2012-10-02 22:00:00,298.71
34,2012-10-02 23:00:00,298.71
35,2012-10-03 00:00:00,298.15
36,2012-10-03 01:00:00,297.59
37,2012-10-03 02:00:00,297.59
38,2012-10-03 03:00:00,297.04
39,2012-10-03 04:00:00,297.59
40,2012-10-03 05:00:00,298.71
41,2012-10-03 06:00:00,303.71
42,2012-10-03 07:00:00,303.71
43,2012-10-03 08:00:00,305.37
44,2012-10-03 09:00:00,309.26
45,2012-10-03 10:00:00,309.82
46,2012-10-03 11:00:00,310.93
47,2012-10-03 12:00:00,305.93
48,2012-10-03 13:00:00,304.82
49,2012-10-03 14:00:00,303.15
50,2012-10-03 15:00:00,301.67
51,2012-10-03 16:00:00,300.19
52,2012-10-03 17:00:00,298.71
53,2012-10-03 18:00:00,298.15
54,2012-10-03 19:00:00,297.59
55,2012-10-03 20:00:00,297.04
56,2012-10-03 21:00:00,297.59
57,2012-10-03 22:00:00,297.315
58,2012-10-03 23:00:00,297.04
59,2012-10-04 00:00:00,296.48
60,2012-10-04 01:00:00,295.93
61,2012-10-04 02:00:00,295.37
62,2012-10-04 03:00:00,295.37
63,2012-10-04 04:00:00,295.37
64,2012-10-04 05:00:00,302.04
65,2012-10-04 06:00:00,303.71
66,2012-10-04 07:00:00,306.48
67,2012-10-04 08:00:00,310.37
68,2012-10-04 09:00:00,309.26
69,2012-10-04 10:00:00,309.82
70,2012-10-04 11:00:00,307.59
71,2012-10-04 12:00:00,305.37
72,2012-10-04 13:00:00,303.15
73,2012-10-04 14:00:00,300.93
74,2012-10-04 15:00:00,298.71
75,2012-10-04 16:00:00,297.59
76,2012-10-04 17:00:00,297.04
77,2012-10-04 18:00:00,296.48
78,2012-10-04 19:00:00,295.93
79,2012-10-04 20:00:00,295.37
80,2012-10-04 21:00:00,294.82
81,2012-10-04 22:00:00,294.82
82,2012-10-04 23:00:00,294.26
83,2012-10-05 00:00:00,294.26
84,2012-10-05 01:00:00,294.26
85,2012-10-05 02:00:00,293.71
86,2012-10-05 03:00:00,293.15
87,2012-10-05 04:00:00,293.15
88,2012-10-05 05:00:00,298.15
89,2012-10-05 06:00:00,302.04
90,2012-10-05 07:00:00,306.205
91,2012-10-05 08:00:00,310.37
92,2012-10-05 09:00:00,309.815
93,2012-10-05 10:00:00,309.26
94,2012-10-05 11:00:00,308.15
95,2012-10-05 12:00:00,305.37
96,2012-10-05 13:00:00,302.59
97,2012-10-05 14:00:00,301.48
98,2012-10-05 15:00:00,298.71
99,2012-10-05 16:00:00,298.15
100,2012-10-05 17:00:00,297.59
101,2012-10-05 18:00:00,296.48
102,2012-10-05 19:00:00,296.48
103,2012-10-05 20:00:00,295.93
104,2012-10-05 21:00:00,295.93
105,2012-10-05 22:00:00,295.93
106,2012-10-05 23:00:00,295.93
107,2012-10-06 00:00:00,295.37
108,2012-10-06 01:00:00,294.82
109,2012-10-06 02:00:00,293.71
110,2012-10-06 03:00:00,293.71
111,2012-10-06 04:00:00,295.37
112,2012-10-06 05:00:00,298.71
113,2012-10-06 06:00:00,303.15
114,2012-10-06 07:00:00,308.15
115,2012-10-06 08:00:00,311.48
116,2012-10-06 09:00:00,312.04
117,2012-10-06 10:00:00,310.93
118,2012-10-06 11:00:00,310.37
119,2012-10-06 12:00:00,304.26
120,2012-10-06 13:00:00,303.15
121,2012-10-06 14:00:00,301.48
122,2012-10-06 15:00:00,299.26
123,2012-10-06 16:00:00,297.59
124,2012-10-06 17:00:00,297.04
125,2012-10-06 18:00:00,296.48
126,2012-10-06 19:00:00,295.93
127,2012-10-06 20:00:00,295.65
128,2012-10-06 21:00:00,295.37
129,2012-10-06 22:00:00,294.82
130,2012-10-06 23:00:00,294.82
131,2012-10-07 00:00:00,294.26
132,2012-10-07 01:00:00,294.26
133,2012-10-07 02:00:00,293.71
134,2012-10-07 03:00:00,293.71
135,2012-10-07 04:00:00,293.71
136,2012-10-07 05:00:00,298.15
137,2012-10-07 06:00:00,302.223333333
138,2012-10-07 07:00:00,306.296666667
139,2012-10-07 08:00:00,310.37
140,2012-10-07 09:00:00,308.71
141,2012-10-07 10:00:00,310.37
142,2012-10-07 11:00:00,305.93
143,2012-10-07 12:00:00,304.26
144,2012-10-07 13:00:00,303.15
145,2012-10-07 14:00:00,299.82
146,2012-10-07 15:00:00,298.71
147,2012-10-07 16:00:00,297.59
148,2012-10-07 17:00:00,296.48
149,2012-10-07 18:00:00,295.93
150,2012-10-07 19:00:00,295.37
151,2012-10-07 20:00:00,295.37
152,2012-10-07 21:00:00,294.26
153,2012-10-07 22:00:00,293.71
154,2012-10-07 23:00:00,293.71
155,2012-10-08 00:00:00,293.71
156,2012-10-08 01:00:00,293.15
157,2012-10-08 02:00:00,292.59
158,2012-10-08 03:00:00,292.04
159,2012-10-08 04:00:00,292.59
160,2012-10-08 05:00:00,297.59
161,2012-10-08 06:00:00,302.04
162,2012-10-08 07:00:00,309.82
163,2012-10-08 08:00:00,306.106666667
164,2012-10-08 09:00:00,302.393333333
165,2012-10-08 10:00:00,298.68
166,2012-10-08 11:00:00,298.68
167,2012-10-08 12:00:00,297.8
168,2012-10-08 13:00:00,297.8
169,2012-10-08 14:00:00,297.8
170,2012-10-08 15:00:00,298.71
171,2012-10-08 16:00:00,297.04
172,2012-10-08 17:00:00,296.48
173,2012-10-08 18:00:00,295.37
174,2012-10-08 19:00:00,295.37
175,2012-10-08 20:00:00,295.37
176,2012-10-08 21:00:00,295.37
177,2012-10-08 22:00:00,294.82
178,2012-10-08 23:00:00,294.26
179,2012-10-09 00:00:00,293.71
180,2012-10-09 01:00:00,293.71
181,2012-10-09 02:00:00,293.15
182,2012-10-09 03:00:00,293.15
183,2012-10-09 04:00:00,294.26
184,2012-10-09 05:00:00,298.71
185,2012-10-09 06:00:00,304.26
186,2012-10-09 07:00:00,305.93
187,2012-10-09 08:00:00,308.15
188,2012-10-09 09:00:00,310.37
189,2012-10-09 10:00:00,309.82
190,2012-10-09 11:00:00,305.93
191,2012-10-09 12:00:00,303.71
192,2012-10-09 13:00:00,301.48
193,2012-10-09 14:00:00,300.37
194,2012-10-09 15:00:00,298.15
195,2012-10-09 16:00:00,297.04
196,2012-10-09 17:00:00,296.48
197,2012-10-09 18:00:00,295.93
198,2012-10-09 19:00:00,295.37
199,2012-10-09 20:00:00,294.82
200,2012-10-09 21:00:00,294.82
201,2012-10-09 22:00:00,294.26
202,2012-10-09 23:00:00,294.26
203,2012-10-10 00:00:00,293.71
204,2012-10-10 01:00:00,293.71
205,2012-10-10 02:00:00,293.15
206,2012-10-10 03:00:00,292.59
207,2012-10-10 04:00:00,293.71
208,2012-10-10 05:00:00,299.82
209,2012-10-10 06:00:00,303.15
210,2012-10-10 07:00:00,307.59
211,2012-10-10 08:00:00,309.82
212,2012-10-10 09:00:00,308.706666667
213,2012-10-10 10:00:00,307.593333333
214,2012-10-10 11:00:00,306.48
215,2012-10-10 12:00:00,306.48
216,2012-10-10 13:00:00,302.59
217,2012-10-10 14:00:00,299.82
218,2012-10-10 15:00:00,297.59
219,2012-10-10 16:00:00,297.04
220,2012-10-10 17:00:00,295.93
221,2012-10-10 18:00:00,295.93
222,2012-10-10 19:00:00,295.37
223,2012-10-10 20:00:00,295.37
224,2012-10-10 21:00:00,294.82
225,2012-10-10 22:00:00,294.66
226,2012-10-10 23:00:00,294.5
227,2012-10-11 00:00:00,294.5
228,2012-10-11 01:00:00,294.5
229,2012-10-11 02:00:00,294.5
230,2012-10-11 03:00:00,294.5
231,2012-10-11 04:00:00,294.5
232,2012-10-11 05:00:00,299.66
233,2012-10-11 06:00:00,304.82
234,2012-10-11 07:00:00,307.32
235,2012-10-11 08:00:00,309.82
236,2012-10-11 09:00:00,311.48
237,2012-10-11 10:00:00,310.37
238,2012-10-11 11:00:00,309.82
239,2012-10-11 12:00:00,306.48
240,2012-10-11 13:00:00,302.04
241,2012-10-11 14:00:00,300.93
242,2012-10-11 15:00:00,298.71
243,2012-10-11 16:00:00,297.9075
244,2012-10-11 17:00:00,297.105
245,2012-10-11 18:00:00,296.3025
246,2012-10-11 19:00:00,295.5
247,2012-10-11 20:00:00,295.5
248,2012-10-11 21:00:00,295.93
249,2012-10-11 22:00:00,294.82
250,2012-10-11 23:00:00,293.71
251,2012-10-12 00:00:00,294.26
252,2012-10-12 01:00:00,294.26
253,2012-10-12 02:00:00,294.26
254,2012-10-12 03:00:00,293.71
255,2012-10-12 04:00:00,297.04
256,2012-10-12 05:00:00,300.375
257,2012-10-12 06:00:00,303.71
258,2012-10-12 07:00:00,308.15
259,2012-10-12 08:00:00,309.82
260,2012-10-12 09:00:00,311.48
261,2012-10-12 10:00:00,310.93
262,2012-10-12 11:00:00,310.37
263,2012-10-12 12:00:00,306.48
264,2012-10-12 13:00:00,304.26
265,2012-10-12 14:00:00,302.04
266,2012-10-12 15:00:00,299.26
267,2012-10-12 16:00:00,298.15
268,2012-10-12 17:00:00,297.59
269,2012-10-12 18:00:00,297.04
270,2012-10-12 19:00:00,297.04
271,2012-10-12 20:00:00,295.93
272,2012-10-12 21:00:00,295.37
273,2012-10-12 22:00:00,295.93
274,2012-10-12 23:00:00,295.37
275,2012-10-13 00:00:00,295.436
276,2012-10-13 01:00:00,295.502
277,2012-10-13 02:00:00,295.568
278,2012-10-13 03:00:00,295.634
279,2012-10-13 04:00:00,295.7
280,2012-10-13 05:00:00,297.59
281,2012-10-13 06:00:00,307.59
282,2012-10-13 07:00:00,310.37
283,2012-10-13 08:00:00,312.59
284,2012-10-13 09:00:00,310.93
285,2012-10-13 10:00:00,309.26
286,2012-10-13 11:00:00,311.48
287,2012-10-13 12:00:00,305.93
288,2012-10-13 13:00:00,302.59
289,2012-10-13 14:00:00,300.93
290,2012-10-13 15:00:00,298.71
291,2012-10-13 16:00:00,297.59
292,2012-10-13 17:00:00,296.48
293,2012-10-13 18:00:00,295.93
294,2012-10-13 19:00:00,295.37
295,2012-10-13 20:00:00,295.37
296,2012-10-13 21:00:00,294.26
297,2012-10-13 22:00:00,294.82
298,2012-10-13 23:00:00,294.82
299,2012-10-14 00:00:00,294.82
300,2012-10-14 01:00:00,294.26
301,2012-10-14 02:00:00,293.71
302,2012-10-14 03:00:00,293.15
303,2012-10-14 04:00:00,293.71
304,2012-10-14 05:00:00,298.15
305,2012-10-14 06:00:00,307.04
306,2012-10-14 07:00:00,308.15
307,2012-10-14 08:00:00,309.26
308,2012-10-14 09:00:00,308.15
309,2012-10-14 10:00:00,309.82
310,2012-10-14 11:00:00,306.48
311,2012-10-14 12:00:00,304.26
312,2012-10-14 13:00:00,303.15
313,2012-10-14 14:00:00,300.93
314,2012-10-14 15:00:00,299.26
315,2012-10-14 16:00:00,297.59
316,2012-10-14 17:00:00,297.04
317,2012-10-14 18:00:00,295.93
318,2012-10-14 19:00:00,295.37
319,2012-10-14 20:00:00,295.37
320,2012-10-14 21:00:00,294.82
321,2012-10-14 22:00:00,294.26
322,2012-10-14 23:00:00,293.71
323,2012-10-15 00:00:00,293.71
324,2012-10-15 01:00:00,293.71
325,2012-10-15 02:00:00,293.71
326,2012-10-15 03:00:00,293.15
327,2012-10-15 04:00:00,293.71
328,2012-10-15 05:00:00,299.82
329,2012-10-15 06:00:00,305.37
330,2012-10-15 07:00:00,302.04
331,2012-10-15 08:00:00,304.82
332,2012-10-15 09:00:00,306.48
333,2012-10-15 10:00:00,309.26
334,2012-10-15 11:00:00,308.15
335,2012-10-15 12:00:00,304.26
336,2012-10-15 13:00:00,302.04
337,2012-10-15 14:00:00,300.37
338,2012-10-15 15:00:00,298.71
339,2012-10-15 16:00:00,297.59
340,2012-10-15 17:00:00,297.04
341,2012-10-15 18:00:00,295.93
342,2012-10-15 19:00:00,295.93
343,2012-10-15 20:00:00,295.37
344,2012-10-15 21:00:00,295.37
345,2012-10-15 22:00:00,295.37
346,2012-10-15 23:00:00,294.82
347,2012-10-16 00:00:00,295.37
348,2012-10-16 01:00:00,294.82
349,2012-10-16 02:00:00,294.26
350,2012-10-16 03:00:00,294.26
351,2012-10-16 04:00:00,294.26
352,2012-10-16 05:00:00,302.59
353,2012-10-16 06:00:00,305.93
354,2012-10-16 07:00:00,305.93
355,2012-10-16 08:00:00,309.26
356,2012-10-16 09:00:00,309.26
357,2012-10-16 10:00:00,310.37
358,2012-10-16 11:00:00,310.37
359,2012-10-16 12:00:00,305.93
360,2012-10-16 13:00:00,303.71
361,2012-10-16 14:00:00,301.48
362,2012-10-16 15:00:00,299.82
363,2012-10-16 16:00:00,298.71
364,2012-10-16 17:00:00,297.59
365,2012-10-16 18:00:00,297.59
366,2012-10-16 19:00:00,297.04
367,2012-10-16 20:00:00,296.48
368,2012-10-16 21:00:00,295.93
369,2012-10-16 22:00:00,295.93
370,2012-10-16 23:00:00,295.37
371,2012-10-17 00:00:00,295.37
372,2012-10-17 01:00:00,294.82
373,2012-10-17 02:00:00,295.37
374,2012-10-17 03:00:00,294.82
375,2012-10-17 04:00:00,294.26
376,2012-10-17 05:00:00,296.48
377,2012-10-17 06:00:00,302.59
378,2012-10-17 07:00:00,308.15
379,2012-10-17 08:00:00,308.71
380,2012-10-17 09:00:00,306.48
381,2012-10-17 10:00:00,308.15
382,2012-10-17 11:00:00,306.48
383,2012-10-17 12:00:00,305.93
384,2012-10-17 13:00:00,304.26
