,datetime,San Francisco
0,2012-10-01 13:00:00,289.48
1,2012-10-01 14:00:00,289.474992813
2,2012-10-01 15:00:00,289.460618112
3,2012-10-01 16:00:00,289.446243412
4,2012-10-01 17:00:00,289.431868711
5,2012-10-01 18:00:00,289.417494011
6,2012-10-01 19:00:00,289.40311931
7,2012-10-01 20:00:00,289.388744609
8,2012-10-01 21:00:00,289.374369909
9,2012-10-01 22:00:00,289.359995208
10,2012-10-01 23:00:00,289.345620508
11,2012-10-02 00:00:00,289.331245807
12,2012-10-02 01:00:00,289.316871107
13,2012-10-02 02:00:00,289.302496406
14,2012-10-02 03:00:00,289.288121706
15,2012-10-02 04:00:00,289.273747005
16,2012-10-02 05:00:00,289.259372305
17,2012-10-02 06:00:00,289.244997604
18,2012-10-02 07:00:00,289.230622904
19,2012-10-02 08:00:00,289.216248203
20,2012-10-02 09:00:00,289.201873503
21,2012-10-02 10:00:00,289.187498802
22,2012-10-02 11:00:00,289.173124102
23,2012-10-02 12:00:00,289.158749401
24,2012-10-02 13:00:00,289.144374701
25,2012-10-02 14:00:00,289.13
26,2012-10-02 15:00:00,290.73
27,2012-10-02 16:00:00,293.02
28,2012-10-02 17:00:00,296.18
29,2012-10-02 18:00:00,299.66
30,2012-10-02 19:00:00,300.03
31,2012-10-02 20:00:00,301.07
32,2012-10-02 21:00:00,302.29
33,2012-10-02 22:00:00,304.7
34,2012-10-02 23:00:00,304.86
35,2012-10-03 00:00:00,304.08
36,2012-10-03 01:00:00,302.69
37,2012-10-03 02:00:00,300.52
38,2012-10-03 03:00:00,298.56
39,2012-10-03 04:00:00,297.94
40,2012-10-03 05:00:00,296.95
41,2012-10-03 06:00:00,294.14
42,2012-10-03 07:00:00,293.46
43,2012-10-03 08:00:00,293.32
44,2012-10-03 09:00:00,292.39
45,2012-10-03 10:00:00,291.96
46,2012-10-03 11:00:00,291.52
47,2012-10-03 12:00:00,291.135
48,2012-10-03 13:00:00,290.75
49,2012-10-03 14:00:00,290.26
50,2012-10-03 15:00:00,292.67
51,2012-10-03 16:00:00,295.08
52,2012-10-03 17:00:00,297.49
53,2012-10-03 18:00:00,299.48
54,2012-10-03 19:00:00,301.24
55,2012-10-03 20:00:00,302.04
56,2012-10-03 21:00:00,303.25
57,2012-10-03 22:00:00,302.875
58,2012-10-03 23:00:00,302.5
59,2012-10-04 00:00:00,302.81
60,2012-10-04 01:00:00,301.91
61,2012-10-04 02:00:00,299.96
62,2012-10-04 03:00:00,297.82
63,2012-10-04 04:00:00,296.56
64,2012-10-04 05:00:00,296.01
65,2012-10-04 06:00:00,294.68
66,2012-10-04 07:00:00,293.92
67,2012-10-04 08:00:00,293.67
68,2012-10-04 09:00:00,293.41
69,2012-10-04 10:00:00,291.81
70,2012-10-04 11:00:00,291.16
71,2012-10-04 12:00:00,290.4
72,2012-10-04 13:00:00,289.99
73,2012-10-04 14:00:00,290.19
74,2012-10-04 15:00:00,291.28
75,2012-10-04 16:00:00,294.26
76,2012-10-04 17:00:00,296.75
77,2012-10-04 18:00:00,297.74
78,2012-10-04 19:00:00,298.64
79,2012-10-04 20:00:00,299.51
80,2012-10-04 21:00:00,298.97
81,2012-10-04 22:00:00,298.47
82,2012-10-04 23:00:00,296.57
83,2012-10-05 00:00:00,294.64
84,2012-10-05 01:00:00,293.22
85,2012-10-05 02:00:00,291.24
86,2012-10-05 03:00:00,290.38
87,2012-10-05 04:00:00,289.76
88,2012-10-05 05:00:00,289.43
89,2012-10-05 06:00:00,289.25
90,2012-10-05 07:00:00,288.91
91,2012-10-05 08:00:00,288.57
92,2012-10-05 09:00:00,288.42
93,2012-10-05 10:00:00,288.27
94,2012-10-05 11:00:00,288.24
95,2012-10-05 12:00:00,288.22
96,2012-10-05 13:00:00,288.6
97,2012-10-05 14:00:00,289.02
98,2012-10-05 15:00:00,288.61
99,2012-10-05 16:00:00,289.41
100,2012-10-05 17:00:00,290.09
101,2012-10-05 18:00:00,292.13
102,2012-10-05 19:00:00,293.26
103,2012-10-05 20:00:00,294.02
104,2012-10-05 21:00:00,294.3
105,2012-10-05 22:00:00,293.81
106,2012-10-05 23:00:00,293.45
107,2012-10-06 00:00:00,291.75
108,2012-10-06 01:00:00,290.32
109,2012-10-06 02:00:00,289.55
110,2012-10-06 03:00:00,288.53
111,2012-10-06 04:00:00,288.23
112,2012-10-06 05:00:00,287.96
113,2012-10-06 06:00:00,287.93
114,2012-10-06 07:00:00,287.85
115,2012-10-06 08:00:00,287.83
116,2012-10-06 09:00:00,287.81
117,2012-10-06 10:00:00,287.59
118,2012-10-06 11:00:00,287.82
