,datetime,Seattle
0,2012-10-01 13:00:00,281.8
1,2012-10-01 14:00:00,281.797216632
2,2012-10-01 15:00:00,281.789832606
3,2012-10-01 16:00:00,281.78244858
4,2012-10-01 17:00:00,281.775064553
5,2012-10-01 18:00:00,281.767680527
6,2012-10-01 19:00:00,281.760296501
7,2012-10-01 20:00:00,281.752912474
8,2012-10-01 21:00:00,281.745528448
9,2012-10-01 22:00:00,281.738144422
10,2012-10-01 23:00:00,281.730760395
11,2012-10-02 00:00:00,281.723376369
12,2012-10-02 01:00:00,281.715992342
13,2012-10-02 02:00:00,281.708608316
14,2012-10-02 03:00:00,281.70122429
15,2012-10-02 04:00:00,281.693840263
16,2012-10-02 05:00:00,281.686456237
17,2012-10-02 06:00:00,281.679072211
18,2012-10-02 07:00:00,281.671688184
19,2012-10-02 08:00:00,281.664304158
20,2012-10-02 09:00:00,281.656920132
21,2012-10-02 10:00:00,281.649536105
22,2012-10-02 11:00:00,281.642152079
23,2012-10-02 12:00:00,281.634768053
24,2012-10-02 13:00:00,281.627384026
25,2012-10-02 14:00:00,281.62
26,2012-10-02 15:00:00,282.71
27,2012-10-02 16:00:00,285.05
28,2012-10-02 17:00:00,287.97
29,2012-10-02 18:00:00,290.61
30,2012-10-02 19:00:00,292.06
31,2012-10-02 20:00:00,293.68
32,2012-10-02 21:00:00,295.32
33,2012-10-02 22:00:00,295.18
34,2012-10-02 23:00:00,296.11
35,2012-10-03 00:00:00,295.24
36,2012-10-03 01:00:00,294.38
37,2012-10-03 02:00:00,292.28
38,2012-10-03 03:00:00,291.12
39,2012-10-03 04:00:00,289.93
40,2012-10-03 05:00:00,287.87
41,2012-10-03 06:00:00,287.14
42,2012-10-03 07:00:00,286.54
43,2012-10-03 08:00:00,286.16
44,2012-10-03 09:00:00,285.31
45,2012-10-03 10:00:00,284.3
46,2012-10-03 11:00:00,283.96
47,2012-10-03 12:00:00,283.595
48,2012-10-03 13:00:00,283.23
49,2012-10-03 14:00:00,283.5
50,2012-10-03 15:00:00,284.57
51,2012-10-03 16:00:00,285.64
52,2012-10-03 17:00:00,286.71
53,2012-10-03 18:00:00,287.42
54,2012-10-03 19:00:00,288.61
55,2012-10-03 20:00:00,289.13
56,2012-10-03 21:00:00,289.41
57,2012-10-03 22:00:00,289.18
58,2012-10-03 23:00:00,288.95
59,2012-10-04 00:00:00,288.79
60,2012-10-04 01:00:00,287.47
61,2012-10-04 02:00:00,286.01
62,2012-10-04 03:00:00,284.85
63,2012-10-04 04:00:00,283.91
64,2012-10-04 05:00:00,283.31
65,2012-10-04 06:00:00,283.07
66,2012-10-04 07:00:00,283.15
67,2012-10-04 08:00:00,282.51
68,2012-10-04 09:00:00,281.98
69,2012-10-04 10:00:00,281.49
70,2012-10-04 11:00:00,281.14
71,2012-10-04 12:00:00,280.59
72,2012-10-04 13:00:00,279.65
73,2012-10-04 14:00:00,279.15
74,2012-10-04 15:00:00,279.72
75,2012-10-04 16:00:00,282.4
76,2012-10-04 17:00:00,284.72
77,2012-10-04 18:00:00,286.03
78,2012-10-04 19:00:00,287.19
79,2012-10-04 20:00:00,288.68
80,2012-10-04 21:00:00,289.56
81,2012-10-04 22:00:00,290.05
82,2012-10-04 23:00:00,289.98
83,2012-10-05 00:00:00,289.6
84,2012-10-05 01:00:00,288.4
85,2012-10-05 02:00:00,286.38
86,2012-10-05 03:00:00,285.56
87,2012-10-05 04:00:00,284.45
88,2012-10-05 05:00:00,283.92
89,2012-10-05 06:00:00,283.25
90,2012-10-05 07:00:00,282.585
91,2012-10-05 08:00:00,281.92
92,2012-10-05 09:00:00,281.775
93,2012-10-05 10:00:00,281.63
94,2012-10-05 11:00:00,281.08
95,2012-10-05 12:00:00,280.64
96,2012-10-05 13:00:00,281.14
97,2012-10-05 14:00:00,280.08
98,2012-10-05 15:00:00,280.7
99,2012-10-05 16:00:00,282.98
100,2012-10-05 17:00:00,284.62
101,2012-10-05 18:00:00,286.61
102,2012-10-05 19:00:00,287.45
103,2012-10-05 20:00:00,289.22
104,2012-10-05 21:00:00,290.21
105,2012-10-05 22:00:00,289.94
106,2012-10-05 23:00:00,290.01
107,2012-10-06 00:00:00,289.85
108,2012-10-06 01:00:00,288.82
109,2012-10-06 02:00:00,287.6
110,2012-10-06 03:00:00,285.82
111,2012-10-06 04:00:00,284.58
112,2012-10-06 05:00:00,284.12
113,2012-10-06 06:00:00,283.63
114,2012-10-06 07:00:00,282.98
115,2012-10-06 08:00:00,282.68
116,2012-10-06 09:00:00,282.38
117,2012-10-06 10:00:00,281.77
118,2012-10-06 11:00:00,281.47
119,2012-10-06 12:00:00,281.06
120,2012-10-06 13:00:00,280.55
121,2012-10-06 14:00:00,280.65
122,2012-10-06 15:00:00,281.0
123,2012-10-06 16:00:00,283.49
124,2012-10-06 17:00:00,286.17
125,2012-10-06 18:00:00,287.58
126,2012-10-06 19:00:00,289.49
127,2012-10-06 20:00:00,292.11
128,2012-10-06 21:00:00,292.85
129,2012-10-06 22:00:00,292.69
130,2012-10-06 23:00:00,292.85
131,2012-10-07 00:00:00,292.05
132,2012-10-07 01:00:00,290.34
133,2012-10-07 02:00:00,288.05
134,2012-10-07 03:00:00,286.46
135,2012-10-07 04:00:00,285.37
136,2012-10-07 05:00:00,285.04
