,datetime,San Diego
0,2012-10-01 13:00:00,291.53
1,2012-10-01 14:00:00,291.533500952
2,2012-10-01 15:00:00,291.543355079
3,2012-10-01 16:00:00,291.553209206
4,2012-10-01 17:00:00,291.563063333
5,2012-10-01 18:00:00,291.57291746
6,2012-10-01 19:00:00,291.582771587
7,2012-10-01 20:00:00,291.592625714
8,2012-10-01 21:00:00,291.602479841
9,2012-10-01 22:00:00,291.612333968
10,2012-10-01 23:00:00,291.622188095
11,2012-10-02 00:00:00,291.632042222
12,2012-10-02 01:00:00,291.641896349
13,2012-10-02 02:00:00,291.651750476
14,2012-10-02 03:00:00,291.661604603
15,2012-10-02 04:00:00,291.67145873
16,2012-10-02 05:00:00,291.681312857
17,2012-10-02 06:00:00,291.691166984
18,2012-10-02 07:00:00,291.701021111
19,2012-10-02 08:00:00,291.710875238
20,2012-10-02 09:00:00,291.720729365
21,2012-10-02 10:00:00,291.730583492
22,2012-10-02 11:00:00,291.740437619
23,2012-10-02 12:00:00,291.750291746
24,2012-10-02 13:00:00,291.760145873
25,2012-10-02 14:00:00,291.77
26,2012-10-02 15:00:00,294.91
27,2012-10-02 16:00:00,296.3
28,2012-10-02 17:00:00,300.13
29,2012-10-02 18:00:00,303.98
30,2012-10-02 19:00:00,303.9
31,2012-10-02 20:00:00,304.22
32,2012-10-02 21:00:00,302.81
33,2012-10-02 22:00:00,303.38
34,2012-10-02 23:00:00,301.85
35,2012-10-03 00:00:00,301.66
36,2012-10-03 01:00:00,299.69
37,2012-10-03 02:00:00,298.08
38,2012-10-03 03:00:00,297.74
39,2012-10-03 04:00:00,295.85
40,2012-10-03 05:00:00,295.39
41,2012-10-03 06:00:00,294.28
42,2012-10-03 07:00:00,294.02
43,2012-10-03 08:00:00,293.74
44,2012-10-03 09:00:00,293.23
45,2012-10-03 10:00:00,292.75
46,2012-10-03 11:00:00,292.58
47,2012-10-03 12:00:00,291.76
48,2012-10-03 13:00:00,292.17
49,2012-10-03 14:00:00,292.03
50,2012-10-03 15:00:00,295.613333333
51,2012-10-03 16:00:00,299.196666667
52,2012-10-03 17:00:00,302.78
53,2012-10-03 18:00:00,304.45
54,2012-10-03 19:00:00,305.31
55,2012-10-03 20:00:00,305.88
56,2012-10-03 21:00:00,305.16
57,2012-10-03 22:00:00,303.63
58,2012-10-03 23:00:00,302.1
59,2012-10-04 00:00:00,302.17
60,2012-10-04 01:00:00,300.28
61,2012-10-04 02:00:00,297.77
62,2012-10-04 03:00:00,296.63
63,2012-10-04 04:00:00,294.99
64,2012-10-04 05:00:00,294.41
65,2012-10-04 06:00:00,293.98
