,datetime,Phoenix
0,2012-10-01 13:00:00,296.6
1,2012-10-01 14:00:00,296.608508543
2,2012-10-01 15:00:00,296.631487354
3,2012-10-01 16:00:00,296.654466164
4,2012-10-01 17:00:00,296.677444975
5,2012-10-01 18:00:00,296.700423786
6,2012-10-01 19:00:00,296.723402597
7,2012-10-01 20:00:00,296.746381407
8,2012-10-01 21:00:00,296.769360218
9,2012-10-01 22:00:00,296.792339029
10,2012-10-01 23:00:00,296.815317839
11,2012-10-02 00:00:00,296.83829665
12,2012-10-02 01:00:00,296.861275461
13,2012-10-02 02:00:00,296.884254271
14,2012-10-02 03:00:00,296.907233082
15,2012-10-02 04:00:00,296.930211893
16,2012-10-02 05:00:00,296.953190704
17,2012-10-02 06:00:00,296.976169514
18,2012-10-02 07:00:00,296.999148325
19,2012-10-02 08:00:00,297.022127136
20,2012-10-02 09:00:00,297.045105946
21,2012-10-02 10:00:00,297.068084757
22,2012-10-02 11:00:00,297.091063568
23,2012-10-02 12:00:00,297.114042379
24,2012-10-02 13:00:00,297.137021189
25,2012-10-02 14:00:00,297.16
26,2012-10-02 15:00:00,300.76
27,2012-10-02 16:00:00,303.48
28,2012-10-02 17:00:00,306.32
29,2012-10-02 18:00:00,308.77
30,2012-10-02 19:00:00,309.24
31,2012-10-02 20:00:00,310.7
32,2012-10-02 21:00:00,311.54
33,2012-10-02 22:00:00,311.28
34,2012-10-02 23:00:00,312.01
35,2012-10-03 00:00:00,311.47
36,2012-10-03 01:00:00,308.97
37,2012-10-03 02:00:00,306.11
38,2012-10-03 03:00:00,304.29
39,2012-10-03 04:00:00,302.52
40,2012-10-03 05:00:00,301.27
41,2012-10-03 06:00:00,300.17
42,2012-10-03 07:00:00,298.52
43,2012-10-03 08:00:00,298.24
44,2012-10-03 09:00:00,297.21
45,2012-10-03 10:00:00,296.13
46,2012-10-03 11:00:00,295.67
47,2012-10-03 12:00:00,293.35
48,2012-10-03 13:00:00,294.11
49,2012-10-03 14:00:00,295.13
50,2012-10-03 15:00:00,298.64
51,2012-10-03 16:00:00,302.15
52,2012-10-03 17:00:00,305.66
53,2012-10-03 18:00:00,306.95
54,2012-10-03 19:00:00,308.79
55,2012-10-03 20:00:00,309.8
56,2012-10-03 21:00:00,311.03
57,2012-10-03 22:00:00,311.22
58,2012-10-03 23:00:00,311.41
59,2012-10-04 00:00:00,311.4
60,2012-10-04 01:00:00,308.64
61,2012-10-04 02:00:00,306.04
62,2012-10-04 03:00:00,303.48
63,2012-10-04 04:00:00,302.46
64,2012-10-04 05:00:00,300.13
65,2012-10-04 06:00:00,298.9
66,2012-10-04 07:00:00,298.38
67,2012-10-04 08:00:00,297.51
68,2012-10-04 09:00:00,296.84
69,2012-10-04 10:00:00,295.68
70,2012-10-04 11:00:00,295.04
71,2012-10-04 12:00:00,294.22
72,2012-10-04 13:00:00,293.93
73,2012-10-04 14:00:00,294.64
74,2012-10-04 15:00:00,297.71
75,2012-10-04 16:00:00,300.54
76,2012-10-04 17:00:00,304.17
77,2012-10-04 18:00:00,306.07
78,2012-10-04 19:00:00,307.97
79,2012-10-04 20:00:00,308.92
80,2012-10-04 21:00:00,310.04
81,2012-10-04 22:00:00,310.49
82,2012-10-04 23:00:00,310.39
83,2012-10-05 00:00:00,309.89
84,2012-10-05 01:00:00,308.06
85,2012-10-05 02:00:00,304.85
86,2012-10-05 03:00:00,303.58
87,2012-10-05 04:00:00,301.68
88,2012-10-05 05:00:00,300.05
89,2012-10-05 06:00:00,299.07
90,2012-10-05 07:00:00,297.87
91,2012-10-05 08:00:00,296.67
92,2012-10-05 09:00:00,296.72
93,2012-10-05 10:00:00,296.77
94,2012-10-05 11:00:00,295.93
95,2012-10-05 12:00:00,294.83
96,2012-10-05 13:00:00,294.57
97,2012-10-05 14:00:00,295.52
98,2012-10-05 15:00:00,298.09
99,2012-10-05 16:00:00,301.07
100,2012-10-05 17:00:00,303.78
101,2012-10-05 18:00:00,305.01
102,2012-10-05 19:00:00,306.4
103,2012-10-05 20:00:00,307.48
104,2012-10-05 21:00:00,308.54
105,2012-10-05 22:00:00,308.47
106,2012-10-05 23:00:00,308.57
107,2012-10-06 00:00:00,307.46
108,2012-10-06 01:00:00,305.79
109,2012-10-06 02:00:00,303.74
110,2012-10-06 03:00:00,301.16
111,2012-10-06 04:00:00,298.96
112,2012-10-06 05:00:00,298.13
113,2012-10-06 06:00:00,296.66
114,2012-10-06 07:00:00,296.16
115,2012-10-06 08:00:00,295.19
116,2012-10-06 09:00:00,294.22
117,2012-10-06 10:00:00,293.64
118,2012-10-06 11:00:00,292.41
119,2012-10-06 12:00:00,291.9
120,2012-10-06 13:00:00,291.81
121,2012-10-06 14:00:00,293.66
122,2012-10-06 15:00:00,297.13
123,2012-10-06 16:00:00,299.92
124,2012-10-06 17:00:00,302.22
125,2012-10-06 18:00:00,303.93
126,2012-10-06 19:00:00,305.62
127,2012-10-06 20:00:00,305.99
128,2012-10-06 21:00:00,306.22
129,2012-10-06 22:00:00,306.71
130,2012-10-06 23:00:00,306.82
131,2012-10-07 00:00:00,306.09
132,2012-10-07 01:00:00,304.14
133,2012-10-07 02:00:00,301.97
134,2012-10-07 03:00:00,300.02
135,2012-10-07 04:00:00,298.49
136,2012-10-07 05:00:00,298.03
137,2012-10-07 06:00:00,297.036666667
138,2012-10-07 07:00:00,296.043333333
139,2012-10-07 08:00:00,295.05
140,2012-10-07 09:00:00,294.78
141,2012-10-07 10:00:00,294.09
142,2012-10-07 11:00:00,293.96
143,2012-10-07 12:00:00,293.64
144,2012-10-07 13:00:00,292.51
145,2012-10-07 14:00:00,292.86
146,2012-10-07 15:00:00,296.38
147,2012-10-07 16:00:00,298.18
148,2012-10-07 17:00:00,301.04
149,2012-10-07 18:00:00,302.96
150,2012-10-07 19:00:00,304.07
151,2012-10-07 20:00:00,305.09
152,2012-10-07 21:00:00,305.02
153,2012-10-07 22:00:00,305.54
154,2012-10-07 23:00:00,304.97
155,2012-10-08 00:00:00,304.46
156,2012-10-08 01:00:00,303.31
157,2012-10-08 02:00:00,301.92
158,2012-10-08 03:00:00,300.67
159,2012-10-08 04:00:00,299.16
160,2012-10-08 05:00:00,297.67
161,2012-10-08 06:00:00,296.84
162,2012-10-08 07:00:00,295.74
163,2012-10-08 08:00:00,295.59
164,2012-10-08 09:00:00,295.33
165,2012-10-08 10:00:00,294.01
166,2012-10-08 11:00:00,294.09
167,2012-10-08 12:00:00,294.06
168,2012-10-08 13:00:00,293.06
169,2012-10-08 14:00:00,293.83
170,2012-10-08 15:00:00,296.01
171,2012-10-08 16:00:00,299.27
172,2012-10-08 17:00:00,301.07
173,2012-10-08 18:00:00,304.02
174,2012-10-08 19:00:00,304.36
175,2012-10-08 20:00:00,305.62
176,2012-10-08 21:00:00,306.05
177,2012-10-08 22:00:00,306.32
178,2012-10-08 23:00:00,306.31
179,2012-10-09 00:00:00,305.92
180,2012-10-09 01:00:00,304.36
181,2012-10-09 02:00:00,302.4
182,2012-10-09 03:00:00,300.66
183,2012-10-09 04:00:00,298.48
184,2012-10-09 05:00:00,297.92
185,2012-10-09 06:00:00,297.07
186,2012-10-09 07:00:00,295.94
187,2012-10-09 08:00:00,294.865
188,2012-10-09 09:00:00,293.79
189,2012-10-09 10:00:00,292.74
190,2012-10-09 11:00:00,292.5
191,2012-10-09 12:00:00,291.82
192,2012-10-09 13:00:00,292.03
193,2012-10-09 14:00:00,292.41
194,2012-10-09 15:00:00,295.48
195,2012-10-09 16:00:00,298.84
196,2012-10-09 17:00:00,299.76
197,2012-10-09 18:00:00,302.16
198,2012-10-09 19:00:00,304.15
199,2012-10-09 20:00:00,305.12
200,2012-10-09 21:00:00,305.64
201,2012-10-09 22:00:00,306.07
202,2012-10-09 23:00:00,306.49
203,2012-10-10 00:00:00,305.97
204,2012-10-10 01:00:00,304.33
205,2012-10-10 02:00:00,302.14
206,2012-10-10 03:00:00,300.14
207,2012-10-10 04:00:00,299.03
208,2012-10-10 05:00:00,297.56
209,2012-10-10 06:00:00,296.45
210,2012-10-10 07:00:00,295.84
211,2012-10-10 08:00:00,294.8
212,2012-10-10 09:00:00,294.33
213,2012-10-10 10:00:00,293.86
214,2012-10-10 11:00:00,293.39
215,2012-10-10 12:00:00,293.49
216,2012-10-10 13:00:00,293.49
217,2012-10-10 14:00:00,293.93
218,2012-10-10 15:00:00,296.26
219,2012-10-10 16:00:00,298.72
220,2012-10-10 17:00:00,301.7
221,2012-10-10 18:00:00,302.85
222,2012-10-10 19:00:00,303.98
223,2012-10-10 20:00:00,304.93
224,2012-10-10 21:00:00,305.39
225,2012-10-10 22:00:00,304.645
226,2012-10-10 23:00:00,303.9
227,2012-10-11 00:00:00,303.9
